RPM,Hp,Nm,afr
2385.010098595537,0.946,2.472,18.063
2705.3403880978954,1.624,3.962,18.063
2989.1868885507224,2.341,5.342,18.075
3292.701072274761,3.001,6.375,18.075
3612.1716616316207,3.549,6.973,18.063
3937.901103986996,3.987,7.205,18.075
4250.266794336523,4.348,7.223,17.042
4570.622534355932,4.667,7.161,16.196
4896.440491777562,4.957,7.084,14.908
5213.478246068948,5.213,7.0,14.235
5520.311555176842,5.443,6.908,13.713
5835.450844636855,5.684,6.836,13.528
6128.104669955913,5.988,6.83,13.493
6432.499586166576,6.37,6.903,13.516
6761.384673642562,6.781,7.003,13.597
7088.055565809851,7.125,7.038,13.725
7400.51540114057,7.328,6.945,13.748
7692.901281046699,7.371,6.717,13.864
7973.953340539905,7.259,6.377,13.794
8239.882380686115,7.013,5.961,13.806
8480.98305672146,6.654,5.494,13.713
8691.62162173432,6.26,5.035,13.586
8889.887550774469,5.673,4.467,13.528
9049.610516735476,4.711,3.649,13.435
9140.194212295308,3.336,2.553,13.261
9172.568644027459,1.552,1.184,13.238
