RPM,Hp,Nm,afr
2535.7980824411443,0.861,2.182,13.284
2771.7145232700213,1.55,3.658,13.238
3075.098913466898,2.311,5.102,13.191
3389.893311035809,3.038,6.254,13.029
3705.828709341922,3.662,6.985,12.774
4026.54142015699,4.164,7.324,12.553
4371.0479243991185,4.569,7.401,12.449
4685.291320937321,4.908,7.352,12.484
5029.150893751764,5.205,7.263,12.402
5338.6663847119635,5.472,7.168,12.426
5663.4003172276725,5.73,7.086,12.426
5984.9928814637,6.013,7.041,12.484
6282.955246695593,6.347,7.052,12.576
6611.197079073705,6.731,7.112,12.82
6947.130070601671,7.132,7.183,13.006
7265.179328303691,7.49,7.21,13.133
7586.103425058349,7.706,7.112,13.191
7893.32536841257,7.668,6.813,13.145
8180.524246685815,7.372,6.329,13.122
8414.4254816634,6.921,5.759,13.052
8638.333739876185,6.501,5.258,13.04
8851.916275542024,5.971,4.718,13.029
9027.1605394713,5.156,4.001,13.017
9137.949214568893,3.797,2.91,13.006
9181.670569125283,1.96,1.494,13.017
