RPM,Hp,Nm,afr
2422.81036155377,0.855,2.176,16.834
2723.1100516994184,1.513,3.625,17.089
3037.595979263205,2.209,4.991,17.344
3292.8787689107767,2.846,6.025,17.251
3602.8630064247563,3.367,6.628,16.868
3904.3277514196784,3.77,6.86,16.335
4218.930184468391,4.092,6.872,15.848
4511.5303241463225,4.378,6.813,15.349
4834.572721533803,4.67,6.776,14.85
5128.016857645608,4.995,6.802,14.49
5437.154017370778,5.368,6.89,14.015
5761.850116762984,5.788,7.019,13.713
6088.102110121894,6.231,7.157,13.4
6414.509692877473,6.658,7.261,13.214
6745.5960470079535,7.03,7.297,13.145
7081.81349071116,7.325,7.253,13.133
7385.901556325002,7.527,7.129,13.11
7700.766321435608,7.588,6.9,12.959
7993.392694319727,7.436,6.521,12.866
8260.479165805029,7.083,6.015,12.704
8487.705947668584,6.63,5.468,12.576
8696.95712326427,6.257,5.024,12.484
8904.410738233162,5.713,4.49,12.356
9065.052472787047,4.647,3.596,12.344
9141.738407900464,3.237,2.477,12.228
9172.723063587975,1.426,1.088,12.17
