RPM,Hp,Nm
754.8082269108091,1.681,15.771
757.680822691081,3.569,32.224
766.0680822691081,5.926,52.21
789.4068082269108,8.52,73.525
815.140680822691,11.061,93.529
842.9140680822691,13.28,109.911
868.1914068082269,15.008,121.339
895.0191406808227,16.211,127.723
921.1019140680824,16.977,130.039
948.0101914068082,17.464,129.838
974.1010191406808,17.841,128.671
1001.9101019140682,18.236,127.662
1027.1910101914068,18.712,127.345
1054.0191010191406,19.275,127.742
1081.9019101019142,19.899,128.595
1109.8901910101915,20.547,129.593
1136.9890191010193,21.197,130.529
1163.998901910102,21.842,131.346
1191.8998901910102,22.491,132.089
1220.789989019101,23.152,132.832
1247.97899890191,23.828,133.604
1275.897899890191,24.511,134.377
1304.789789989019,25.186,135.07
1333.7789789989017,25.833,135.587
1362.7778978998901,26.432,135.836
1389.9777897899892,26.965,135.748
1418.7977789789986,27.419,135.292
1446.8797778979,27.798,134.508
1475.78797778979,28.126,133.527
1503.878797778979,28.451,132.56
1530.0878797778978,28.821,131.83
1557.0087879777898,29.269,131.468
1585.8008787977792,29.787,131.436
1612.980087879778,30.325,131.52
1640.898008787978,30.816,131.431
1668.8898008787983,31.206,130.944
1695.9889800878798,31.484,130.015
1722.0988980087877,31.682,128.791
1749.9098898008788,31.859,127.514
1775.190988980088,32.06,126.376
1802.019098898009,32.291,125.415
1827.2019098898008,32.524,124.517
1854.9201909889798,32.716,123.52
1879.292019098898,32.845,122.33
1905.1292019098898,32.913,120.958
1929.3129201909892,32.933,119.458
1954.231292019099,32.9,117.828
1979.22312920191,32.784,115.977
2001.5223129201909,32.547,113.779
2026.252231292019,32.165,111.169
2048.5252231292025,31.649,108.189
2068.7525223129205,31.037,104.98
2091.475252231292,30.386,101.736
2111.7475252231293,29.76,98.667
2130.8747525223134,29.215,95.948
2150.7874752522316,28.785,93.675
2169.8787475252234,28.472,91.839
2188.8878747525223,28.249,90.333
2206.9887874752526,28.057,88.966
2225.8988787475255,27.797,87.425
2243.089887874752,27.357,85.37
2261.008988787475,26.712,82.732
2277.2008988787475,26.052,80.096
2293.2200898878746,25.68,78.373
2309.2220089887874,25.668,77.773
2326.122200898879,25.741,77.456
2342.2122200898875,25.581,76.464
2357.3212220089886,25.097,74.534
2372.332122200899,25.342,74.736
2386.43321222009,20.251,59.487
2390.543321222009,11.512,33.675
