RPM,Hp,Nm,afr
1786.0797302482363,1.442,5.235,18.063
1928.846295236454,2.159,7.444,18.063
2084.686345443569,2.887,9.447,18.11
2241.833744172574,3.574,11.061,18.063
2424.850676609822,4.191,12.209,18.075
2595.0112831042616,4.734,12.924,18.028
2781.903416203658,5.22,13.317,18.086
2957.599302535523,5.675,13.524,18.063
3147.6188435042673,6.123,13.661,18.063
3339.0707499366995,6.58,13.797,18.063
3533.239772801106,7.051,13.954,18.063
3727.680507308709,7.529,14.119,17.564
3922.148412980632,8.005,14.268,17.042
4121.766795540199,8.471,14.383,16.613
4324.474105674134,8.921,14.456,16.242
4522.342548794297,9.356,14.492,15.72
4719.727105213081,9.774,14.497,15.349
4917.063272961728,10.173,14.476,14.896
5114.39460184336,10.547,14.425,14.409
5314.299326723897,10.883,14.336,14.131
5509.313631433114,11.173,14.202,13.841
5703.838894125199,11.411,14.019,13.725
5882.871973301938,11.597,13.793,13.574
6075.799113440774,11.736,13.532,13.365
6254.67238036219,11.832,13.247,13.284
6426.992500190652,11.888,12.943,13.191
6598.657305309817,11.899,12.618,13.098
6772.83045884366,11.865,12.273,12.982
6929.237288019733,11.787,11.909,12.866
7086.441364645633,11.673,11.532,12.774
7236.003526359702,11.53,11.152,12.727
7384.801496582586,11.357,10.766,12.576
7520.6536482283245,11.145,10.369,12.507
7662.932857673165,10.886,9.951,12.379
7780.1159740418625,10.589,9.522,12.263
7923.102159844606,10.292,9.11,12.182
8024.912694535462,10.039,8.752,12.089
8132.901183657551,9.854,8.467,11.95
8254.376867650788,9.72,8.238,11.857
8369.479631474325,9.59,8.024,11.764
8465.927944081655,9.426,7.791,11.683
8575.954090880996,9.229,7.539,11.637
8671.894741785909,9.032,7.294,11.567
8761.279083330162,8.868,7.08,11.509
8857.729433595172,8.741,6.904,11.474
8957.460264617857,8.639,6.754,11.416
9044.649744288288,8.553,6.621,11.37
9122.863449166674,8.489,6.507,11.335
9223.344495536305,8.439,6.407,11.312
9302.887357084614,8.355,6.285,11.266
9385.484159921996,8.186,6.105,11.242
9470.960236773897,7.958,5.886,11.266
9543.854841599217,7.733,5.672,11.231
9610.343539450672,7.484,5.447,11.219
9694.20880580398,7.281,5.26,11.242
9756.646810037024,7.181,5.15,11.173
9819.515967943644,6.991,4.98,11.138
9892.723760760045,6.309,4.469,11.138
9928.357218783343,4.839,3.413,11.138
9949.937723784913,3.195,2.247,11.115
9957.243534056282,1.219,0.857,11.092
