RPM,Hp,Nm
2958.110137322132,2.638,6.037
3046.6478338158954,3.705,8.306
3151.5267080677822,4.691,10.297
3258.0397000954817,5.52,11.836
3364.7161039007615,6.155,12.861
3471.4088488838006,6.606,13.412
3583.751763549468,6.91,13.606
3696.6596951833985,7.123,13.585
3803.975592949302,7.297,13.48
3916.380822893257,7.475,13.386
4023.646450490163,7.678,13.348
4136.046653417217,7.911,13.373
4243.311778312433,8.165,13.44
4355.711930969319,8.426,13.519
4474.274121967226,8.68,13.583
4587.8039812343795,8.917,13.62
4700.830607328458,9.141,13.63
4808.158374540378,9.359,13.629
4920.564791428934,9.585,13.635
5039.127608850006,9.83,13.666
5147.008995194625,10.102,13.73
5265.119309561304,10.402,13.827
5378.603981165335,10.725,13.951
5497.274624057956,11.068,14.092
5616.4638640794365,11.429,14.247
5735.704963813801,11.81,14.414
5854.951249519457,12.212,14.594
5979.8465893870925,12.634,14.785
6099.658299106074,13.065,14.975
6230.258716939897,13.485,15.144
6356.28947002035,13.866,15.265
6481.863256625466,14.181,15.311
6613.039882147904,14.41,15.267
6733.479720432365,14.553,15.138
6858.4944155578805,14.633,14.95
6983.966596367504,14.695,14.752
7098.187454615831,14.797,14.597
7216.93171617288,14.983,14.528
7336.128318060804,15.276,14.563
7461.018689546668,15.664,14.686
7580.829902427471,16.108,14.857
7711.430270577475,16.554,15.024
7837.461018689547,16.952,15.144
7957.386269232972,17.272,15.19
8087.998041149239,17.514,15.168
8214.029929637938,17.709,15.103
8333.955294219024,17.895,15.03
8458.918541974204,18.096,14.973
8578.73704248194,18.304,14.926
8703.689603829785,18.482,14.86
8829.155571261641,18.593,14.748
8949.024343737045,18.639,14.589
9068.3333967168,18.672,14.423
9181.93794218214,18.772,14.311
9294.972036896039,18.998,14.294
9424.894693229357,19.354,14.375
9539.560599030048,19.779,14.505
9658.349365342336,20.183,14.618
9788.84748883549,20.486,14.658
9903.570941352169,20.649,14.596
10022.365462336054,20.675,14.442
10141.56709016666,20.605,14.226
10255.160893117085,20.481,13.98
10368.193913579493,20.303,13.708
10475.522320228243,20.039,13.389
10587.928801060481,19.711,13.038
10689.546018181363,19.447,12.737
10790.08430893111,19.39,12.574
10890.51470704374,19.515,12.533
11002.231387022366,19.584,12.461
11098.131088493034,19.263,12.151
11192.449092112904,18.362,11.489
11275.311854817986,16.62,10.324
11345.732022301885,14.631,9.029
11403.610859133956,13.284,8.148
11465.8840984657,11.379,6.946
11506.002635787994,9.268,5.64
