RPM,Hp,Nm
3210.037453638668,3.104,6.584
3288.9812734537545,4.213,8.804
3372.718352064477,5.198,10.697
3461.9909363300435,5.974,12.088
3546.7608913858144,6.511,12.926
3631.0805835206043,6.834,13.281
3725.4676089138584,7.012,13.311
3800.636648531835,7.132,13.205
3883.9962491228466,7.271,13.122
3973.231085586442,7.474,13.156
4057.9972658620154,7.753,13.327
4157.485119844629,8.091,13.598
4248.332781647385,8.454,13.906
4343.372604007436,8.811,14.191
4433.775462647935,9.141,14.416
4543.939344017603,9.438,14.574
4635.854608559064,9.711,14.682
4725.945011417704,9.976,14.766
4836.077647209187,10.247,14.85
4922.933607417548,10.529,14.947
5032.742798944002,10.821,15.053
5124.622594501143,11.112,15.156
5239.990349337755,11.392,15.24
5327.36982145063,11.653,15.296
5437.2313641675355,11.897,15.327
5539.228754394282,12.131,15.342
5635.383549596732,12.367,15.357
5741.0664448473135,12.613,15.383
5842.645970327429,12.879,15.431
5943.815158830495,13.17,15.506
6049.99949341114,13.493,15.611
6156.6853425995405,13.844,15.743
6258.365163473437,14.215,15.89
6359.544381515884,14.582,16.029
6475.842078601027,14.921,16.134
6583.539264039879,15.217,16.191
6690.376398314101,15.483,16.213
6797.12752747186,15.756,16.236
6903.870056117973,16.08,16.304
7010.611724712921,16.475,16.436
7122.409487078034,16.915,16.61
7229.6566790448815,17.342,16.77
7351.617353297746,17.699,16.861
7464.937016228652,17.965,16.865
7572.33639825208,18.163,16.8
7679.14375218476,18.331,16.708
7785.891903308364,18.489,16.611
7897.690313926341,18.63,16.506
8015.049930269039,18.74,16.382
8117.797127858365,18.834,16.248
8224.139263347633,18.954,16.138
8320.728533076335,19.137,16.082
8436.567235330107,19.378,16.075
8539.162341510539,19.618,16.072
8655.601627409482,19.794,16.021
8748.14443240387,19.876,15.898
8858.522308408927,19.883,15.717
8960.571331964487,19.848,15.509
9056.73129049982,19.788,15.289
9157.35852230841,19.696,15.053
9263.488661219606,19.575,14.804
9349.94437173994,19.466,14.571
9444.544998971747,19.447,14.409
9545.016297649985,19.574,14.356
9635.9623039223,19.807,14.382
9731.01196072931,20.015,14.393
9831.528162365068,20.117,14.329
9922.478658933136,20.158,14.222
10012.472584994439,20.14,14.075
10102.370854005061,19.893,13.778
10197.3157370859,19.03,13.074
10267.484382697356,17.461,11.91
10335.175404561873,15.789,10.696
10392.50630450113,14.343,9.655
10453.85737202315,13.585,9.093
10500.441916977596,9.852,6.573
10505.100371473041,4.132,2.752
