RPM,Hp,Nm
2695.005675330961,1.678,4.202
2762.1971967465797,2.542,6.259
2839.7028657420738,3.398,8.233
2923.2961292708364,4.171,9.93
2997.385792702365,4.81,11.229
3075.5812758994502,5.297,12.093
3159.243520848372,5.637,12.56
3238.396262197197,5.855,12.714
3322.1542329612926,5.979,12.649
3401.316546891635,6.035,12.449
3485.0754749138823,6.046,12.179
3569.2940643453203,6.04,11.9
3653.5586199176787,6.054,11.673
3722.6592327782855,6.13,11.565
3785.1872715924355,6.303,11.632
3862.226592327783,6.595,11.899
3945.773221030531,7.0,12.348
4045.1391198558617,7.486,12.917
4130.918406367609,8.005,13.518
4230.507570973839,8.508,14.065
4326.4215436142385,8.96,14.5
4427.0241768333335,9.348,14.805
4528.0956761103,9.682,15.001
4624.157882217772,9.983,15.128
4724.7753387835755,10.276,15.23
4825.848320395211,10.577,15.337
4932.0230342867135,10.894,15.46
5033.651741630919,11.221,15.595
5139.882028095677,11.549,15.725
5241.516292697209,11.865,15.834
5352.8033146629805,12.159,15.909
5454.943252814613,12.426,15.947
5561.224662360113,12.67,15.953
5667.920219045,12.9,15.939
5774.657190443826,13.127,15.92
5876.342123538765,13.358,15.908
5982.578032578596,13.597,15.906
6089.269039212916,13.838,15.908
6190.949375831405,14.079,15.912
6302.241004998871,14.325,15.92
6409.437583645956,14.589,15.946
6511.16847746572,14.887,16.003
6617.408982578033,15.224,16.097
6719.0442690443215,15.588,16.216
6835.387572971848,15.955,16.335
6948.14549887022,16.297,16.427
7055.488707190393,16.598,16.475
7162.290443752748,16.863,16.483
7269.03803313932,17.103,16.466
7380.836387583596,17.329,16.436
7488.083638758361,17.542,16.395
7599.931959381455,17.733,16.338
7702.1280273988195,17.893,16.256
7813.471229706176,18.018,16.147
7920.672965667248,18.111,16.015
8017.348195443132,18.188,15.873
8128.139313926337,18.274,15.744
8230.229661729714,18.408,15.658
8336.506112240388,18.622,15.64
8433.08881347123,18.915,15.687
8538.814499324651,19.24,15.76
8645.45448364033,19.515,15.795
8757.242077577517,19.671,15.737
8854.375893151011,19.699,15.58
8955.100510663415,19.659,15.373
9056.184208369712,19.642,15.186
9152.247634320116,19.72,15.077
9252.865212870212,19.909,15.054
9358.99438645556,20.157,15.079
9450.506180218592,20.378,15.085
9555.72477532523,20.494,15.016
9652.20169101567,20.484,14.858
9752.86061853977,20.393,14.645
9838.769207921394,20.293,14.43
9938.371302814612,20.199,14.225
10029.230388708427,20.023,13.972
10119.215173702305,19.617,13.571
10204.056348830905,18.877,12.953
10283.326983197696,17.822,12.137
10351.928203937749,16.581,11.211
10419.462483315125,15.189,10.205
10476.777709005672,13.623,9.102
10528.014849552255,12.092,8.04
10568.531822033876,10.542,6.98
10607.976777709007,8.651,5.71
10632.145992377642,7.057,4.644
10654.78763294563,5.565,3.657
