RPM,Hp,Nm
2817.5922039450693,1.216,2.97
2840.1861866866425,1.978,4.735
2898.063562488889,2.8,6.589
2969.581637147766,3.607,8.348
3057.6323210181476,4.326,9.844
3132.167726483837,4.907,10.964
3210.407783884339,5.327,11.669
3294.0744862536026,5.597,11.999
3368.1714935691807,5.753,12.051
3446.367711154671,5.845,11.952
3524.973849767153,5.926,11.821
3598.5648007070527,6.036,11.747
3681.766592430256,6.196,11.776
3760.873288456509,6.412,11.913
3839.5704749130664,6.676,12.135
3923.2828901879357,6.97,12.403
4012.5530081199167,7.276,12.68
4102.37889631761,7.579,12.936
4187.204181766593,7.871,13.156
4281.641766491266,8.149,13.338
4366.928221592948,8.416,13.487
4461.411923282891,8.673,13.611
4551.759169856379,8.921,13.715
4641.692770918222,9.156,13.795
4741.6973669794625,9.373,13.845
4827.5405232148005,9.565,13.861
4927.13607479339,9.732,13.841
5017.994506355743,9.879,13.794
5107.979225916473,10.018,13.736
5197.876574277041,10.163,13.686
5292.821365292873,10.321,13.654
5378.158541023669,10.494,13.644
5472.647314776524,10.673,13.644
5562.995068556304,10.845,13.638
5657.984900114059,10.998,13.611
5748.382759674328,11.127,13.558
5838.321422034849,11.238,13.485
5928.214164675395,11.349,13.412
6013.046135568663,11.479,13.362
6102.428209062486,11.648,13.356
6197.321472591642,11.867,13.406
6287.709675349052,12.135,13.508
6372.591192254007,12.438,13.646
6467.034400124278,12.757,13.796
6567.48995686636,13.069,13.935
6658.434388945064,13.362,14.049
6753.483888332709,13.634,14.135
6848.9438944512485,13.895,14.206
6944.444951242878,14.159,14.273
7039.950113101816,14.429,14.343
7135.455685467486,14.692,14.406
7230.961298883826,14.928,14.443
7331.523096180518,15.118,14.438
7432.590511865243,15.261,14.389
7523.59612983821,15.382,14.319
7618.651747815283,15.518,14.263
7709.056186017485,15.702,14.25
7809.107865792761,15.945,14.289
7905.068089950063,16.234,14.37
8000.619168545568,16.546,14.47
8106.241692135454,16.864,14.572
8197.70282089894,17.185,14.672
8297.860169730344,17.507,14.767
8393.83096079326,17.815,14.847
8499.495455629887,18.078,14.89
8596.016961293328,18.263,14.871
8701.736527590008,18.367,14.788
8793.20736062417,18.422,14.668
8893.365679882641,18.485,14.555
8984.280388212983,18.602,14.486
9084.383095001076,18.777,14.464
9180.348421859659,18.975,14.462
9280.956190500572,19.144,14.441
9376.972023544442,19.248,14.373
9467.472483253321,19.276,14.25
9562.477585403985,19.235,14.08
9657.933151798827,19.142,13.877
9748.377584842803,19.003,13.647
9833.264724776418,18.808,13.384
9922.652315174271,18.514,13.06
10007.43377084327,18.057,12.632
10086.698433264102,17.394,12.074
10160.355236584837,16.541,11.398
10233.451253995563,15.573,10.657
10291.322653489444,14.555,9.896
10352.727770966922,13.477,9.111
10409.430080467479,12.306,8.277
10455.549749619784,11.063,7.408
10495.55497496198,9.826,6.552
10529.892576147884,8.577,5.7
10563.663414918161,7.204,4.774
10587.26521789631,5.673,3.751
10599.737757744688,4.191,2.767
10611.097371280088,3.185,2.1
10622.345692184188,2.612,1.721
10633.582883825162,2.239,1.474
10639.762782764541,1.836,1.208
10645.436952433758,1.453,0.956
