RPM,Hp,Nm
3032.203326278284,2.679,6.002
3114.4562876840087,3.751,8.273
3198.524280453794,4.717,10.239
3282.773776359986,5.498,11.724
3367.0414225798195,6.067,12.677
3451.310883831016,6.441,13.16
3530.524346810068,6.675,13.307
3619.3445695124674,6.836,13.281
3714.1816479624827,6.985,13.222
3799.5080524366967,7.168,13.226
3883.883389513333,7.407,13.333
3973.219799625491,7.7,13.535
4063.0523170412016,8.031,13.798
4157.990624962547,8.376,14.073
4258.495691709738,8.712,14.32
4359.557434339514,9.027,14.516
4455.618664782266,9.318,14.661
4546.123664231035,9.594,14.77
4646.185400130969,9.867,14.865
4747.202809676019,10.148,14.962
4848.31578658558,10.438,15.069
4949.438320231592,10.735,15.179
5050.561809551249,11.028,15.281
5151.685394438271,11.308,15.362
5252.80898888203,11.568,15.412
5358.988764056743,11.808,15.433
5460.617977529269,12.032,15.432
5561.792134831579,12.25,15.422
5662.920786516866,12.471,15.416
5764.044887640451,12.704,15.425
5870.224713483146,12.956,15.456
5971.853932022473,13.234,15.514
6073.028089831461,13.542,15.604
6179.212921342697,13.886,15.728
6285.898820224157,14.266,15.884
6392.6348258426415,14.669,16.059
6494.319662359546,15.071,16.226
6610.6679212921335,15.445,16.359
6718.370162915731,15.775,16.441
6830.263982583708,16.07,16.483
6937.520780280844,16.358,16.511
7044.313875780894,16.666,16.556
7156.116780836516,17.001,16.623
7263.364487072416,17.334,16.691
7380.269032976906,17.627,16.721
7493.083083072973,17.854,16.691
7600.431903812917,18.026,16.61
7707.234201617248,18.177,16.511
7813.981847128018,18.342,16.426
7925.780207184712,18.533,16.368
8033.027458920717,18.742,16.33
8144.875779599937,18.966,16.308
8247.071847622914,19.226,16.315
8358.415049930833,19.553,16.374
8465.61678589196,19.946,16.483
8577.460554993691,20.339,16.591
8684.7123476342,20.612,16.604
8801.61730217915,20.65,16.436
8904.319033588701,20.423,16.068
9005.600442684712,20.04,15.589
9101.68363977409,19.735,15.18
9207.359375213364,19.752,15.02
9293.769645386505,20.175,15.168
9408.590447684719,20.813,15.475
9511.083763869596,21.27,15.651
9617.40051121842,21.244,15.475
9713.987242133078,20.785,14.991
9804.54479162904,20.222,14.439
9894.49942298313,19.784,13.99
9989.449942298314,19.432,13.618
10074.787690859046,19.317,13.417
10159.164162344332,18.956,13.059
10243.444506122072,18.346,12.538
10307.49051802794,14.055,9.56
10324.007478769085,7.013,4.748
