RPM,Hp,Nm
508.7787798778788,22.355,385.796
508.9778779877878,5.502,83.745
510.7977877987788,-2.756,-58.989
514.5797787798779,-3.755,-72.915
519.4579778779878,-1.216,-27.051
525.3457977877988,1.507,19.428
533.1345797787798,2.925,41.842
540.2134579778781,3.212,44.432
548.1213457977879,3.162,41.215
557.0121345797787,3.355,41.724
567.8012134579778,3.909,47.535
580.5801213457978,4.63,55.505
594.4580121345798,5.276,62.172
608.445801213458,5.723,65.986
622.4445801213458,5.962,67.173
636.4444580121345,6.119,67.275
649.5444458012136,5.544,59.919
658.0544445801213,4.415,46.875
