RPM,Hp,Nm
3730.4851551941206,2.021,3.745
3771.164953875577,2.78,5.114
3816.8425227848184,3.471,6.339
3858.396581045606,4.043,7.324
3904.1615759127794,4.473,8.03
3950.347664440593,4.769,8.472
3996.575862334472,4.958,8.708
4047.431558836188,5.079,8.811
4089.503429856222,5.167,8.85
4144.566781341787,5.249,8.875
4196.305993202673,5.338,8.913
4238.4662157586245,5.439,8.971
4293.53840239778,5.547,9.041
4340.655210102792,5.654,9.109
4396.223055256854,5.753,9.163
4443.389428813357,5.837,9.193
4498.962230552569,5.906,9.197
4546.129099767586,5.96,9.179
4597.078663401417,6.006,9.147
4648.406496477129,6.048,9.112
4699.772156497027,6.094,9.081
4746.518311540115,6.147,9.063
4797.4258037567515,6.211,9.06
4848.749429690744,6.285,9.073
4900.114668996473,6.368,9.098
4946.860781968141,6.46,9.136
5002.391557648871,6.56,9.182
5054.1775119292715,6.665,9.233
5100.965696398408,6.77,9.284
5151.877391557649,6.868,9.324
5207.824725457136,6.952,9.346
5259.652335559413,7.017,9.342
5311.06797328197,7.062,9.312
5362.442413766555,7.092,9.263
5413.8127345273415,7.116,9.206
5460.559355644516,7.142,9.152
5511.466894468563,7.174,9.109
5562.790525063295,7.213,9.075
5614.155764835098,7.256,9.047
5665.525165524607,7.298,9.02
5712.271694634653,7.335,8.987
5758.555936586753,7.364,8.946
5814.040525165526,7.385,8.894
5861.198573064497,7.392,8.828
5907.523966895493,7.379,8.741
5953.766095319686,7.34,8.627
6004.623184874435,7.276,8.487
6051.318482871005,7.196,8.331
6092.974314040526,7.12,8.181
6138.749486198573,7.071,8.065
6180.313304784242,7.066,7.999
6226.079275683905,7.103,7.982
6267.642174143733,7.161,7.991
6313.408053030813,7.212,7.992
6359.594229960617,7.227,7.955
6405.822436694693,7.197,7.871
6447.431558737964,7.133,7.751
6483.955484640921,7.06,7.621
6524.594178601079,7.001,7.508
6570.2676370381905,6.968,7.424
6611.821284251765,6.958,7.368
6648.339662671751,6.957,7.321
6688.977801883615,6.946,7.268
6730.027917174663,6.917,7.195
6771.119230073632,6.869,7.104
6807.5913750621585,6.814,7.008
6843.601603259642,6.765,6.917
6884.188927449252,6.725,6.839
6920.610673566844,6.69,6.766
6956.615861877234,6.647,6.687
6992.579394406901,6.589,6.595
7033.162049029731,6.52,6.493
7064.960040519413,6.446,6.387
7095.879565695779,6.374,6.284
7131.334531912044,6.303,6.185
7171.866329903533,6.234,6.089
7199.035948058848,6.171,6.0
7229.492635901775,6.115,5.918
7264.9013183847,6.055,5.834
7296.181912660389,5.974,5.732
7327.049698115355,5.863,5.602
7357.876202688248,5.73,5.453
7384.075291501702,5.597,5.305
7414.434926410444,5.485,5.179
7440.587328257485,5.408,5.087
7470.942294469585,5.375,5.037
7497.0942294469605,5.37,5.014
7522.825861300859,5.359,4.985
7553.13875051365,5.31,4.923
7579.286477791092,5.218,4.82
7605.017688875001,5.135,4.727
7626.083960668324,5.124,4.7
7660.553601546286,5.151,4.709
7677.8704286477805,5.128,4.673
7711.9651250565585,5.059,4.595
7729.244457711136,5.062,4.582
7758.712117003992,5.138,4.635
7784.77532128944,5.554,4.992
7810.498080074148,4.29,3.849
7813.070355952619,1.904,1.704
