RPM,Hp,Nm,afr
2285.092391853824,2.165,6.11,17.019
2537.5172209413686,3.387,8.93,17.019
2787.503147407706,4.665,11.465,17.019
3061.8746020839862,5.898,13.434,16.59
3363.3140280533244,7.023,14.742,15.349
3661.3028965339527,8.015,15.463,14.421
3971.261418501742,8.877,15.756,13.342
4288.574260436264,9.615,15.774,12.936
4594.3078251314255,10.224,15.616,12.727
4883.490075557613,10.697,15.323,12.634
5189.489258410948,11.028,14.91,12.692
5460.2260067989055,11.214,14.388,12.739
5721.279157122308,11.254,13.767,12.855
5981.363947639254,11.143,13.057,13.006
6213.643806394484,10.886,12.271,12.971
6433.907140046518,10.497,11.43,13.006
6637.575434643191,10.01,10.567,12.89
6814.954806862266,9.469,9.722,12.959
6983.547932225563,8.913,8.925,12.901
7148.183755594278,8.36,8.188,12.89
7281.637075673453,7.818,7.508,12.808
7415.050822732682,7.301,6.889,12.774
7536.145903253883,6.807,6.32,12.808
7640.615730576243,6.267,5.737,12.913
7734.187000651696,5.551,5.023,12.982
7823.589737693447,4.586,4.111,13.145
7872.552816414726,3.489,3.106,13.249
7892.842510831895,2.518,2.228,13.4
7925.658253363692,1.864,1.642,13.493
7953.569246088935,1.502,1.32,13.783
7974.832409215506,1.348,1.183,13.934
7992.352112073203,1.192,1.045,14.166
8009.497468904014,0.859,0.752,14.142
8011.212004587095,0.509,0.445,14.351
8011.383458155403,0.096,0.083,14.49
