RPM,Hp,Nm,afr
2695.5486436206397,3.02,7.202,17.634
2984.9482509071036,4.701,10.527,17.994
3290.9691694464686,6.351,13.331,17.936
3595.573541802115,7.777,15.222,17.715
3909.2722914664146,8.887,16.136,16.81
4230.037833479595,9.697,16.287,16.033
4539.19534549163,10.283,16.002,14.966
4834.877345267522,10.725,15.554,14.583
5132.290471128804,11.063,15.074,14.456
5414.483323053587,11.293,14.573,14.34
5688.9967929667055,11.386,14.006,14.282
5947.348938133615,11.313,13.327,14.328
6185.612886971857,11.055,12.524,14.224
6406.474629632192,10.625,11.62,14.073
6613.281442438703,10.072,10.672,13.899
6797.132021096777,9.466,9.75,13.76
6954.0575578679445,8.847,8.888,13.644
7117.526622377443,8.203,8.065,13.539
7253.941943879705,7.513,7.251,13.377
7375.3371818452115,6.819,6.474,13.354
7476.758347602992,6.187,5.787,13.33
7573.103428830995,5.586,5.157,13.423
7665.86222429701,4.905,4.481,13.562
7727.475618096749,3.918,3.552,13.597
7770.581085184816,2.922,2.632,13.678
7796.4423730566805,2.441,2.187,13.771
7839.05130686097,1.681,1.5,13.887
7843.312200241398,0.875,0.782,14.038
