RPM,Hp,Nm,afr
3264.218728576789,0.939,2.043,14.398
3266.29790591553,1.961,4.105,14.363
3327.8694600130407,3.25,6.63,14.386
3434.439838563288,4.67,9.307,14.398
3551.0886119555025,6.045,11.773,14.49
3674.323737228608,7.221,13.723,14.444
3798.2174976898027,8.109,15.003,14.583
3922.1771216698066,8.7,15.635,14.653
4046.1433320016913,9.058,15.782,14.734
4175.688713365458,9.284,15.666,14.746
4294.634987039026,9.479,15.493,15.024
4418.099862340267,9.716,15.399,15.059
4542.016597804274,10.032,15.442,15.094
4665.978519284559,10.43,15.613,15.186
4801.10198415986,10.892,15.873,15.326
4931.763090977969,11.397,16.175,15.488
5061.977961990359,11.929,16.492,15.5
5203.305234215565,12.493,16.822,15.546
5340.165234165359,13.106,17.186,15.36
5487.735531680998,13.8,17.614,15.001
5625.219834159836,14.597,18.129,14.862
5784.009586721769,15.488,18.712,14.641
5933.772859498622,16.4,19.28,14.595
6104.947533883747,17.18,19.678,14.502
6261.5278112396145,17.64,19.721,14.479
6416.6486488925575,17.655,19.302,14.351
6571.6235425752075,17.292,18.508,14.305
6732.162354257522,16.842,17.646,14.316
6831.893921376166,16.719,17.129,14.27
6959.015838418609,17.233,17.249,14.386
7105.612327643515,18.392,17.993,14.166
7287.62734846683,19.876,19.035,14.421
7456.448685259906,21.217,19.915,14.398
7607.215116459874,22.054,20.298,14.409
7784.068619084005,22.308,20.128,14.456
7930.059754470385,22.153,19.588,14.641
8078.543165529683,21.836,18.926,14.525
8221.69729175958,21.492,18.283,14.606
8369.89700190323,21.12,17.663,14.618
8507.444245644867,20.7,17.042,14.63
8632.769217952917,20.311,16.47,14.746
8762.4504755143,20.079,16.04,14.862
8881.410336807628,20.045,15.78,15.059
9016.033595664234,20.105,15.608,15.65
9141.06616948378,20.1,15.397,15.616
9253.982650006228,19.937,15.075,15.94
9376.844545992357,19.508,14.57,16.172
9483.965446334772,18.806,13.883,16.219
9589.512247112814,17.839,13.03,16.114
9683.744613141034,17.209,12.436,16.207
9782.424048090963,17.741,12.68,15.917
9892.705214726451,17.682,12.514,15.708
9987.411017340415,17.528,12.289,15.755
