RPM,Hp,Nm,afr
3500.091531656304,3.356,6.511,12.866
3610.386511656196,4.829,9.194,12.901
3728.963179467506,6.18,11.531,12.878
3842.707638701467,7.3,13.306,13.017
3961.6292544361845,8.153,14.471,12.808
4086.728963179468,8.775,15.12,12.704
4206.786103865116,9.238,15.424,12.716
4337.659742461982,9.617,15.55,12.634
4475.275408208462,9.964,15.617,12.646
4602.244521952922,10.306,15.682,12.669
4739.46973521416,10.66,15.769,12.797
4860.739426351605,11.039,15.886,12.843
4997.3946973521415,11.458,16.048,12.913
5135.588526338988,11.932,16.268,13.017
5273.9362111244645,12.474,16.557,13.04
5412.299281489806,13.091,16.917,12.924
5561.984645130114,13.779,17.337,12.994
5707.141860739426,14.524,17.794,12.936
5857.50663890413,15.292,18.245,12.866
6019.712928041355,16.032,18.635,12.692
6177.442990917343,16.685,18.908,12.588
6334.725431167206,17.21,19.027,12.518
6497.623486512948,17.604,18.998,12.391
6649.762348651295,17.92,18.887,12.426
6806.485668827393,18.258,18.793,12.391
6963.667434807268,18.711,18.811,12.368
7109.574290650538,19.306,18.963,12.298
7276.995164914109,19.967,19.178,12.298
7440.907063661221,20.551,19.323,12.275
7604.468064856688,20.929,19.281,12.17
7762.333598938498,21.07,19.028,12.089
7913.969208950452,21.055,18.644,12.101
8059.321449196931,21.009,18.247,12.02
8204.045352466863,21.014,17.913,12.043
8360.027176756119,21.066,17.642,12.182
8500.15366107184,21.123,17.393,12.124
8638.694611390203,21.162,17.143,12.17
8782.737385667324,21.182,16.887,12.228
8916.009587623335,21.15,16.603,12.205
9048.20473234724,21.022,16.261,12.252
9191.612926064912,20.861,15.907,12.228
9307.840537889513,20.862,15.682,12.391
9438.331223600273,21.16,15.679,12.379
9570.24821669965,21.576,15.768,12.391
9707.968217896378,21.768,15.7,12.46
9829.287387827373,21.431,15.266,12.495
9943.306097273304,19.843,13.982,12.518
10045.274005953746,17.619,12.292,12.53
10117.734947765186,16.328,11.278,12.623
10204.226324965199,12.635,8.674,12.681
10229.85659476067,7.511,5.138,12.739
