RPM,Hp,Nm,afr
3766.603652823138,-0.016,0.046,12.669
3772.8867803766534,0.559,1.102,12.6
3773.5150931320045,1.587,2.931,12.553
3806.980433950188,3.052,5.464,12.634
3890.13200565917,4.813,8.421,12.611
4028.6358420753504,6.651,11.383,12.6
4161.354150245272,8.333,13.937,12.669
4299.154282949056,9.698,15.815,12.507
4443.122975464717,10.697,16.958,12.6
4576.387769244585,11.383,17.496,12.774
4725.563305226345,11.865,17.655,12.565
4876.329915428296,12.258,17.655,12.634
5021.595255693774,12.644,17.647,12.542
5160.6500916071145,13.067,17.702,12.542
5321.7253865192015,13.549,17.837,12.565
5462.361217897203,14.1,18.051,12.623
5623.594612355758,14.73,18.34,12.542
5764.246253688405,15.435,18.691,12.565
5942.462361217897,16.185,19.065,12.611
6090.47265121613,16.904,19.386,12.588
6258.103868895198,17.492,19.551,12.518
6427.69717934235,17.859,19.481,12.402
6586.16594434933,17.997,19.178,12.275
6737.861877453801,18.02,18.767,12.228
6894.540904726513,18.137,18.455,12.124
7034.737109340576,18.549,18.433,11.834
7184.605786405755,19.316,18.752,11.938
7352.422842791519,20.304,19.272,11.834
7527.6951144678305,21.249,19.744,11.718
7698.052530314707,21.908,19.943,11.706
7856.59770586166,22.175,19.783,11.544
8013.961657378618,22.093,19.32,11.428
8165.547109134089,21.787,18.688,11.44
8316.554710913408,21.402,18.023,11.242
8461.844150336623,21.075,17.441,11.3
8595.241018807248,20.915,17.023,11.15
8733.109007541101,20.968,16.792,11.103
8877.084485659769,21.187,16.703,11.103
9010.349957999939,21.427,16.637,10.952
9153.865184479238,21.538,16.48,10.941
9281.424254296982,21.502,16.218,10.918
9418.708463165547,21.422,15.931,10.894
9539.984053863725,21.52,15.778,10.906
9676.639914820333,21.805,15.767,10.906
9803.513048085806,21.496,15.353,10.941
9929.407908582165,20.788,14.672,10.987
10032.56343236765,21.204,14.767,11.126
10156.086531916011,18.011,12.44,11.103
10208.06148338028,12.57,8.611,11.126
