RPM,Hp,Nm,afr
4778.4850765199335,4.049,5.804,12.205
4865.004470954746,6.624,9.303,12.344
5011.27108929731,9.311,12.82,12.368
5152.503255718721,11.749,15.849,12.263
5304.241151259946,13.631,17.994,12.402
5440.5158582452605,14.794,19.088,12.426
5602.7671821548,15.278,19.247,12.402
5751.102406288875,15.327,18.824,12.518
5909.055194757328,15.306,18.297,12.646
6040.446803879402,15.566,18.09,12.681
6125.1455978191325,16.295,18.416,12.681
6298.753091892005,17.448,19.209,12.727
6508.774391758007,18.792,20.192,12.832
6656.382026331763,20.039,21.038,12.948
6830.775817312076,20.969,21.511,13.064
7002.343636777079,21.483,21.533,13.238
7140.601336154771,21.596,21.154,13.551
7325.069307927404,21.411,20.511,13.76
7486.635371159713,21.099,19.786,13.864
7634.902069226062,20.872,19.174,13.945
7737.80213352811,20.902,18.819,14.154
7913.229754637215,21.229,18.745,14.444
8073.891782803172,21.71,18.818,14.653
8200.049728739032,22.08,18.809,15.592
8355.784789387664,22.09,18.511,16.114
8508.97297435161,21.633,17.847,16.59
8617.86977449938,20.806,16.909,16.903
8755.364959101313,19.886,15.928,17.599
8846.178697744994,19.217,15.178,18.121
9003.883924820371,19.116,14.893,18.075
9074.70031908754,19.865,15.259,18.075
9224.901224569305,21.494,16.264,18.063
9383.040581172529,23.384,17.433,18.075
9486.927911328261,24.494,18.012,18.11
9678.968020490625,24.185,17.557,18.075
9786.245425902274,22.836,16.361,18.063
9846.514450847108,19.584,13.886,18.086
9990.156032240675,14.275,10.059,18.075
10010.024777535993,12.813,8.922,17.866
10039.53458784534,15.273,10.509,17.727
10240.650706490957,18.706,12.787,17.124
10293.789841291298,14.91,10.162,17.054
10299.103754771331,5.809,3.947,16.845
