RPM,Hp,Nm,afr
4614.0538150383345,5.029,7.465,12.437
4738.469601687319,7.394,10.792,12.495
4872.01209778341,9.578,13.724,12.542
4978.944329044396,11.374,15.953,12.669
5127.252231069578,12.712,17.401,12.623
5279.6977001711775,13.645,18.186,12.623
5416.04316451253,14.286,18.52,12.634
5550.778628377859,14.768,18.623,12.692
5723.885202287327,15.223,18.682,12.681
5867.8013642654305,15.763,18.832,12.646
5992.2847235825075,16.441,19.127,12.658
6164.366087037149,17.208,19.51,12.692
6313.6843151257335,17.93,19.839,12.692
6482.744578301564,18.493,19.989,12.82
6648.274457830157,18.894,19.954,12.843
6802.442124682098,19.246,19.853,12.948
6916.941460174631,19.673,19.818,12.948
7110.042769870674,20.195,19.885,13.168
7261.462992583397,20.745,19.988,13.377
7425.228868065679,21.26,20.059,13.562
7573.715547357026,21.735,20.083,13.76
7726.178894185245,22.155,20.05,13.841
7890.049082079076,22.409,19.88,13.887
8044.05077976754,22.349,19.46,14.026
8191.561041279507,21.932,18.766,14.154
8327.412984861894,21.313,17.932,14.374
8451.089922339399,20.763,17.186,14.56
8590.063120674306,20.529,16.724,14.815
8714.052183627065,20.638,16.558,15.778
8842.04742019757,20.666,16.347,16.37
8970.443274129848,20.043,15.652,16.497
9076.860841174452,17.888,13.823,16.868
9159.062230906435,15.431,11.802,17.263
9227.83282859523,15.278,11.554,17.135
9322.783282859522,11.221,8.436,17.286
9326.77374112999,5.031,3.772,17.24
