RPM,Hp,Nm,afr
3073.103429570833,3.344,7.334,18.075
3187.310342957083,4.513,9.706,18.075
3294.356034295708,5.537,11.666,18.063
3411.935603429571,6.345,13.063,18.075
3513.693560342957,6.924,13.884,17.866
3630.7443560342954,7.304,14.223,15.964
3738.0744356034293,7.544,14.233,14.815
3855.6824435603426,7.704,14.072,14.316
3968.6932443560336,7.836,13.863,13.586
4081.2443244356036,7.967,13.677,13.238
4193.74943244356,8.111,13.537,12.901
4300.6249432443565,8.266,13.438,12.507
4406.937494324435,8.425,13.361,12.252
4524.443749432443,8.583,13.29,11.695
4620.569374943245,8.736,13.214,11.312
4737.056937494324,8.882,13.133,10.883
4844.330693749431,9.024,13.049,10.709
4950.6830693749425,9.164,12.967,10.396
5051.3183069374945,9.306,12.892,10.233
5157.00683069375,9.451,12.826,10.071
5257.5756830693745,9.603,12.773,10.071
5374.507568306937,9.764,12.734,9.932
5470.5757568306935,9.937,12.712,10.001
5575.8075756830685,10.124,12.708,9.955
5676.330757568307,10.322,12.717,9.978
5787.633075756831,10.524,12.731,10.036
5883.138307575684,10.719,12.738,9.978
5993.938830757568,10.897,12.727,10.024
6100.643883075756,11.053,12.693,9.92
6201.314388307576,11.192,12.64,9.92
6307.006438830756,11.328,12.583,9.978
6407.575643883075,11.474,12.54,10.129
6502.007564388307,11.646,12.524,10.28
6612.700756438831,11.847,12.539,10.349
6713.770075643882,12.074,12.582,10.384
6825.127007564387,12.318,12.641,10.419
6920.637700756439,12.567,12.702,10.5
7025.813770075644,12.804,12.75,10.651
7131.956377007564,13.016,12.771,10.929
7238.1956377007555,13.187,12.754,10.964
7344.444563770076,13.308,12.69,10.929
7445.069456377007,13.374,12.579,11.161
7545.1319456377,13.397,12.432,11.231
7645.1381945637695,13.396,12.269,11.15
7750.763819456377,13.405,12.118,11.579
7840.076381945638,13.451,12.006,11.706
7939.007638194564,13.552,11.943,12.008
8038.900763819456,13.698,11.923,12.02
8133.265076381946,13.859,11.919,12.263
8232.701507638194,13.993,11.894,12.449
8332.64515076382,14.07,11.824,12.762
8432.639515076382,14.086,11.706,12.878
8515.763951507637,14.068,11.562,13.029
8614.076395150765,14.059,11.427,13.133
8708.282639515075,14.09,11.327,13.203
8796.453263951507,14.16,11.261,13.33
8884.020326395152,14.232,11.202,13.342
8988.402032639515,14.256,11.109,13.493
9066.34020326395,14.194,10.955,13.504
9164.134020326395,14.04,10.734,13.528
9241.413402032638,13.819,10.468,13.586
9322.266340203265,13.57,10.188,13.655
9409.101634020328,13.334,9.924,13.667
9485.285163402032,13.138,9.695,13.586
9560.403516340204,12.991,9.508,13.551
9641.04035163402,12.88,9.352,13.47
9705.3540351634,12.767,9.198,13.504
9796.16040351634,12.604,9.014,13.493
9855.866040351633,12.372,8.786,13.47
9923.711604035165,12.119,8.547,13.388
10003.621160403518,11.93,8.355,13.319
10056.612116040349,11.835,8.231,13.284
10123.786211604034,11.759,8.125,13.226
10198.003621160406,11.613,7.975,13.075
10261.675362116039,11.414,7.791,13.029
10318.667536211606,11.251,7.632,13.029
10369.366753621161,11.144,7.513,12.994
10447.561675362114,10.995,7.371,12.924
10500.38116753621,10.71,7.141,12.797
10550.66311675362,10.305,6.836,12.692
10606.31631167536,9.925,6.551,12.692
10656.881631167536,9.661,6.345,12.623
10706.938163116753,9.494,6.206,12.576
10756.943816311674,9.194,5.983,12.449
10801.319381631167,8.731,5.658,12.24
10839.506938163117,7.232,4.673,12.17
10860.20069381631,4.941,3.183,12.124
