RPM,Hp,Nm,afr
2350.606920535512,1.077,3.028,18.086
2512.169125788491,1.616,4.347,18.086
2683.747033060777,2.144,5.506,18.086
2863.5554261976445,2.613,6.378,18.086
3055.030241414945,2.999,6.924,18.086
3251.2861566716147,3.302,7.186,18.086
3437.1768084382456,3.536,7.246,17.947
3640.103223012499,3.718,7.191,17.924
3823.046466879563,3.861,7.077,17.414
4018.4492250012095,3.972,6.936,16.752
4200.640103223012,4.063,6.786,16.149
4374.280877792181,4.149,6.649,15.708
4550.681099827411,4.257,6.555,14.931
4727.357266609248,4.411,6.534,14.386
4904.061027865744,4.635,6.608,13.992
5087.996464232359,4.938,6.78,13.655
5283.498441603959,5.318,7.03,13.377
5480.1570730760595,5.749,7.321,13.261
5695.003659114836,6.189,7.597,13.156
5908.054582778954,6.584,7.801,13.261
6124.540398036933,6.903,7.903,13.446
6344.984160285622,7.162,7.927,13.794
6565.823717233381,7.427,7.945,14.096
6757.787191000447,7.78,8.042,14.444
6990.236550425348,8.265,8.257,14.757
7233.96341407868,8.858,8.559,15.198
7478.8180281548575,9.49,8.878,15.674
7727.399875104643,10.095,9.145,15.94
7979.968903173115,10.644,9.338,16.219
8243.780022847432,11.13,9.458,16.3
8490.643062525707,11.533,9.501,16.01
8757.49804119233,11.804,9.441,15.813
9004.665466769837,11.908,9.263,15.233
9242.63522137578,11.835,8.968,14.85
9472.456293221916,11.622,8.592,14.746
9690.619123298095,11.349,8.198,14.502
9896.772755703305,11.072,7.828,14.409
10098.11101051009,11.257,7.788,14.282
10288.124354063057,9.15,6.25,14.328
10350.499182394258,5.511,3.719,14.409
