RPM,Hp,Nm,afr
2218.216425627443,0.728,2.211,18.086
2332.66501605672,1.122,3.27,18.086
2467.0014413647086,1.53,4.271,18.086
2614.170023654544,1.921,5.114,18.075
2777.079652967864,2.277,5.751,18.086
2945.1778448148584,2.593,6.188,18.063
3124.6382664091975,2.871,6.463,18.086
3298.005995315619,3.116,6.622,18.075
3488.836744109876,3.329,6.696,16.764
3666.955963567614,3.508,6.705,15.627
3854.6474035856777,3.654,6.658,14.838
4021.6093186718213,3.771,6.571,14.177
4200.956112590074,3.873,6.468,13.62
4374.312478728887,3.979,6.381,12.739
4539.840886427105,4.11,6.339,12.286
4711.815413943916,4.285,6.365,11.985
4891.663469105235,4.522,6.475,11.88
5072.298877031007,4.843,6.682,11.776
5263.856393727197,5.265,6.994,11.73
5467.349494794406,5.792,7.4,11.648
5679.265069961369,6.404,7.865,11.625
5917.324097357582,7.052,8.329,11.788
6157.997469976723,7.684,8.731,11.788
6417.004566274781,8.266,9.038,12.008
6656.1582879527805,8.798,9.257,12.484
6915.013419156725,9.303,9.422,12.797
7179.453149144589,9.809,9.568,13.145
7440.836881179519,10.334,9.718,13.632
7709.143929081808,10.876,9.868,13.945
7985.3722242334825,11.401,9.993,14.247
8251.54927061612,11.844,10.042,14.456
8531.179023447155,12.137,9.969,14.56
8790.467299935077,12.254,9.766,14.514
9040.492513126039,12.21,9.458,14.514
9285.976962155979,12.054,9.09,14.56
9516.549503444514,11.835,8.705,14.502
9738.40193829626,11.605,8.34,14.386
9952.153446841674,11.541,8.11,14.224
10157.865947093806,10.721,7.399,14.224
10315.786594709383,9.4,6.377,14.166
