RPM,Hp,Nm,afr
2136.664851006736,0.648,2.033,18.086
2248.606244136818,1.035,3.106,18.075
2386.306407546212,1.449,4.157,18.086
2537.425821477513,1.855,5.071,18.086
2700.7305339549807,2.229,5.776,18.086
2872.4826919497145,2.557,6.257,18.086
3048.694052327502,2.837,6.543,18.086
3228.9657907749183,3.071,6.681,17.843
3420.486940523275,3.264,6.712,16.184
3591.446284413774,3.417,6.667,14.63
3778.4217368751124,3.533,6.567,14.154
3945.3120532055837,3.617,6.429,13.678
4110.1938559229675,3.679,6.271,13.203
4278.48926511037,3.729,6.114,12.866
4439.897119282122,3.789,5.987,12.194
4600.616217952309,3.884,5.924,11.811
4757.651983241014,4.049,5.961,11.416
4921.548330854222,4.312,6.128,11.173
5100.588568025181,4.695,6.436,11.08
5284.757651983241,5.203,6.871,11.138
5501.96974110194,5.826,7.404,11.045
5718.871672905377,6.542,7.992,11.045
5953.814878133911,7.322,8.59,11.231
6212.248957692908,8.133,9.154,11.266
6483.87549817893,8.937,9.65,11.695
6753.206826926326,9.698,10.047,11.915
7040.380923656488,10.386,10.331,12.24
7325.7248393536,10.975,10.492,12.588
7614.500194778734,11.443,10.529,12.913
7892.775320682692,11.769,10.442,13.064
8170.000423634535,11.948,10.244,13.087
8443.506066459839,12.004,9.964,13.029
8691.338558453213,11.986,9.65,12.948
8943.832651026045,11.921,9.327,12.785
9185.949530162849,11.786,8.982,12.6
9416.185314462069,11.571,8.605,12.356
9634.389615783555,11.321,8.227,12.205
9840.547395313299,11.146,7.924,12.101
10049.114980495186,10.989,7.653,12.02
10247.080172748314,10.963,7.483,11.962
10429.527294383266,9.708,6.531,11.869
10545.362367992544,7.597,5.038,11.869
