RPM,Hp,Nm,afr
2110.2766232685335,1.848,5.496,12.89
2325.692912061179,2.672,7.644,12.808
2527.999684404843,3.369,9.269,12.797
2717.518353137615,3.856,10.167,12.878
2879.934619585813,4.132,10.385,12.878
3028.163493839559,4.285,10.193,12.901
3189.3200688313527,4.455,9.965,12.866
3363.246565862944,4.788,10.035,12.797
3538.4500550985153,5.389,10.582,12.681
3739.604835477971,6.286,11.597,12.576
3963.4397609123025,7.434,12.921,12.472
4229.712732733102,8.74,14.328,12.414
4520.314525133033,10.095,15.612,12.379
4804.741335616385,11.416,16.648,12.379
5108.635663848569,12.665,17.409,12.588
5414.476743855633,13.843,17.944,12.948
5729.120363014682,14.977,18.329,13.029
6050.3828120719245,16.095,18.635,13.226
6369.43785612749,17.215,18.901,13.435
6708.357175623376,18.332,19.133,13.551
7029.177906722805,19.413,19.306,13.678
7362.535218940081,20.398,19.377,13.667
7694.2769012776425,21.205,19.291,13.702
8022.987732635735,21.759,19.007,13.644
8331.310462955389,22.013,18.513,13.493
8634.725095179705,21.967,17.833,13.354
8920.433189645493,21.673,17.027,13.18
9184.28561439494,21.22,16.173,13.006
9448.821760164255,20.698,15.34,12.843
9687.602686112072,20.166,14.566,12.588
9915.20022610324,19.648,13.86,12.321
10147.418003481736,19.161,13.223,12.112
10354.274212675486,18.741,12.667,11.834
10555.72497705926,18.391,12.189,11.718
10756.635196962037,18.084,11.765,11.498
10951.752786433719,17.789,11.372,11.498
11131.944672904796,17.47,10.982,11.405
11307.774701084316,16.969,10.502,11.474
11477.429967451684,16.036,9.786,11.382
11617.774877722852,14.52,8.753,11.347
11735.103736443914,12.757,7.608,11.382
11824.307398086477,8.71,5.16,11.37
11827.489188267737,2.95,1.743,11.405
