RPM,Hp,Nm,afr
2289.9360082142607,1.716,4.84,13.736
2468.829329774198,2.47,6.76,13.748
2636.410653716639,3.105,8.24,13.702
2786.2283343655035,3.555,9.121,13.748
2928.7255028410673,3.851,9.486,13.481
3070.490620099302,4.11,9.63,13.377
3220.4987540017164,4.503,9.926,13.156
3385.1915591784054,5.174,10.661,12.89
3567.98527501435,6.186,11.913,12.681
3796.9422646677585,7.494,13.539,12.484
4069.3246166105127,8.972,15.257,12.263
4357.137800470085,10.473,16.785,12.17
4657.582363209226,11.894,17.955,12.078
4948.2017681484385,13.198,18.747,12.147
5254.471100839483,14.407,19.252,12.333
5567.849574149656,15.564,19.593,12.576
5890.255183287656,16.699,19.857,12.843
6208.019358164494,17.823,20.081,13.029
6539.179759225073,18.924,20.26,13.098
6857.81941329417,19.974,20.37,13.168
7180.751140508061,20.918,20.372,13.261
7506.884148958403,21.676,20.212,13.18
7825.021063766477,22.158,19.842,13.261
8125.725925678494,22.311,19.242,13.11
8421.915508378937,22.154,18.452,12.982
8687.160750016537,21.787,17.566,12.866
8949.311557547857,21.336,16.69,12.774
9197.292552058687,20.882,15.885,12.658
9432.768269579585,20.436,15.155,12.426
9664.221385479519,19.986,14.476,12.182
9881.4118716075,19.538,13.844,11.95
10083.31572514843,19.115,13.265,11.788
10283.690915430654,18.731,12.745,11.648
10483.913239387006,18.375,12.273,11.556
10661.943685335005,18.097,11.874,11.451
10846.071165248079,17.843,11.512,11.416
11019.720052869776,17.413,11.059,11.416
11184.004859496423,16.418,10.284,11.416
11319.632518803852,14.63,9.052,11.428
11427.445798081615,12.099,7.415,11.451
11501.984826214732,8.814,5.361,11.498
