RPM,Hp,Nm,afr
3089.0262659270993,2.824,6.192,14.432
3283.337944867864,4.433,9.275,14.606
3491.2701394559854,6.124,12.154,14.746
3725.513050906584,7.769,14.527,14.78
3995.6519211070854,9.282,16.274,14.595
4288.784904636376,10.628,17.434,14.363
4584.217299498544,11.818,18.143,14.2
4882.6517094159735,12.899,18.568,14.108
5175.842172994986,13.934,18.858,14.235
5482.368611550011,14.978,19.118,14.409
5795.772795446582,16.066,19.397,14.444
6118.18097564322,17.218,19.71,14.525
6430.40125978198,18.436,20.047,14.595
6755.46312392481,19.694,20.379,14.769
7095.669515677902,20.9,20.623,14.699
7420.757916660193,21.905,20.666,14.734
7747.106592487374,22.603,20.44,14.595
8068.037147955103,22.995,19.978,14.421
8360.705152167175,23.117,19.345,14.374
8661.635196941563,22.862,18.491,14.154
8932.8986326305,22.363,17.53,13.98
9187.33503780104,22.064,16.789,13.934
9437.316665997765,20.546,15.261,13.725
9631.411338057682,18.213,13.233,13.586
