RPM,Hp,Nm,afr
3042.1384811132375,2.38,5.337,17.82
3203.803170493254,3.73,8.021,17.75
3397.382370437416,5.165,10.579,17.53
3591.380947516021,6.595,12.776,16.996
3835.318792903552,7.965,14.515,16.335
4100.883008653805,9.238,15.802,15.732
4382.470231050184,10.403,16.706,14.769
4657.343532345264,11.494,17.345,14.56
4942.633737218099,12.59,17.869,14.444
5231.737706370681,13.781,18.416,14.56
5540.627569405035,15.097,19.033,14.595
5862.584317515452,16.484,19.658,14.699
6188.619828055446,17.843,20.181,14.804
6520.607362682342,19.11,20.537,14.746
6847.645951873984,20.261,20.72,14.63
7176.961720444072,21.267,20.743,14.49
7509.277280873976,22.094,20.607,14.514
7833.576598723949,22.731,20.325,14.398
8140.441848784099,23.151,19.898,14.235
8451.10783990921,23.146,19.189,14.142
8737.205239843079,22.855,18.324,14.073
9004.213337125992,23.305,18.064,14.084
9272.084578065782,19.928,15.118,13.992
9395.894289428754,14.004,10.409,13.841
