RPM,Hp,Nm,afr
2511.8323959207114,2.795,7.199,18.179
2751.8347053901166,4.113,10.045,18.075
3007.431027542269,5.356,12.359,18.075
3255.7919626890807,6.417,13.906,18.086
3512.2241474089733,7.263,14.694,18.086
3775.326649268585,7.928,14.92,17.622
4033.232990659758,8.482,14.851,17.599
4299.414504277703,8.999,14.711,17.39
4557.628746844708,9.526,14.626,17.448
4815.046262306621,10.087,14.629,17.414
5081.17889333164,10.684,14.698,17.089
5345.251439821764,11.306,14.796,17.158
5609.117977858398,11.938,14.894,17.112
5881.7587033233,12.573,14.98,16.567
6149.413655348617,13.225,15.068,16.312
6419.501626121181,13.928,15.192,16.138
6695.696090950881,14.718,15.381,15.964
6966.638013003883,15.594,15.631,15.766
7257.575853417653,16.499,15.889,15.697
7547.581689576294,17.333,16.065,15.558
7840.425921400627,17.992,16.079,15.476
8118.896012335502,18.415,15.893,15.36
8390.065496999025,18.596,15.526,14.873
8660.50492103541,18.572,15.027,14.618
8907.418570279437,18.391,14.451,14.189
9154.911238135437,18.083,13.829,13.632
9381.940635214194,17.643,13.161,13.354
9601.060513032819,17.049,12.433,13.04
9804.731458469405,16.323,11.659,12.832
9992.199530211763,15.529,10.881,12.727
10166.320930219874,14.874,10.235,12.588
10336.176066963359,14.427,9.76,12.426
10496.809789106761,13.543,9.033,12.263
10647.72658151654,12.349,8.132,12.008
10750.766143493674,11.652,7.574,11.788
10884.197135522005,10.169,6.544,11.66
10964.966944822558,8.296,5.296,11.521
