RPM,Hp,Nm,afr
2874.664229004366,0.255,0.769,18.11
2914.1765206203063,0.712,1.83,18.075
2944.5121146027473,1.496,3.512,18.075
2971.5949582795783,2.618,5.76,18.075
3202.371222212323,3.994,8.32,18.075
3454.1133437196036,5.464,10.81,18.075
3705.020454893133,6.851,12.86,18.075
3964.638853306903,8.025,14.249,18.075
4228.059976535902,8.944,14.97,18.075
4500.6561605200395,9.653,15.19,18.086
4765.375062306075,10.238,15.146,17.947
5026.374639781096,10.783,15.037,17.634
5295.79707309863,11.331,14.965,17.24
5560.198599818007,11.889,14.941,16.88
5835.824420242387,12.447,14.94,16.532
6097.914689581244,13.011,14.949,16.114
6364.5145959939555,13.62,14.994,15.929
6637.428658296463,14.331,15.122,15.836
6899.247751823133,15.174,15.356,15.732
7183.410117201857,16.122,15.668,15.65
7478.601598039405,17.08,15.967,15.592
7769.032798240423,17.923,16.147,15.569
8056.0563742865825,18.548,16.129,15.407
8336.875995734847,18.908,15.894,14.815
8614.143625632118,19.017,15.477,14.502
8870.534883735852,18.917,14.933,14.212
9121.906908569026,18.648,14.311,13.841
9366.913817892733,18.246,13.643,13.644
9587.831446935856,17.756,12.962,13.435
9803.40855185971,17.224,12.297,13.319
10006.725220006818,16.681,11.667,13.168
10200.021056202639,16.147,11.079,12.948
10386.451617020917,15.615,10.525,12.75
10557.537669845413,15.151,10.041,12.669
10727.089271870536,14.719,9.602,12.542
10884.761044450897,14.116,9.075,12.472
11032.450045813168,12.934,8.214,12.344
11143.961616959166,10.853,6.822,12.252
11222.539484171486,8.432,5.259,12.112
11274.371212260798,5.522,3.427,12.031
