RPM,Hp,Nm,afr
2582.9428791439486,1.714,4.401,18.075
2753.0825615300305,2.891,7.023,18.086
2957.7186796057717,4.153,9.569,18.075
3195.1204021625313,5.339,11.637,18.075
3432.867089076188,6.339,13.011,18.075
3679.44306069915,7.128,13.719,18.086
3926.901960793042,7.756,13.963,18.086
4165.654365460412,8.299,13.987,18.075
4418.194101041156,8.809,13.955,18.075
4666.249377530826,9.292,13.917,18.063
4916.787804202596,9.726,13.842,18.075
5161.711353710162,10.088,13.696,18.075
5400.2102233189,10.386,13.486,18.086
5629.2718366641375,10.655,13.257,18.086
5863.252916565437,10.941,13.069,18.075
6094.794347031136,11.293,12.973,18.075
6326.091812553277,11.762,13.014,18.086
6560.296477672266,12.404,13.225,18.075
6806.5182471157605,13.248,13.611,18.075
7056.873323082911,14.268,14.128,18.086
7331.09449843207,15.375,14.678,18.063
7598.907495445814,16.449,15.146,17.889
7880.737655082042,17.367,15.436,17.762
8155.174742706901,18.042,15.495,17.309
8428.872523130625,18.39,15.286,16.926
8690.769988469414,18.479,14.893,16.509
8942.692634026096,18.774,14.673,15.952
9187.754605422153,17.08,13.054,15.43
9350.045818848404,14.01,10.475,15.059
