RPM,Hp,Nm,afr
2499.5304627812266,1.93,5.023,18.075
2697.8357824344744,3.126,7.689,18.075
2922.8780407841637,4.378,10.198,18.075
3165.251973459524,5.548,12.203,18.086
3412.290669658656,6.541,13.526,18.086
3662.7274383013705,7.335,14.2,18.075
3919.3672063708536,7.971,14.412,18.075
4170.764082200602,8.52,14.396,18.075
4421.63666880638,9.042,14.327,18.086
4675.388422580963,9.562,14.288,18.086
4935.29128525484,10.076,14.274,18.075
5189.946066636234,10.571,14.255,18.075
5447.007635979585,11.04,14.209,18.075
5692.58349975431,11.493,14.144,18.063
5942.873985154584,11.952,14.088,18.075
6190.704336626208,12.45,14.077,18.075
6452.946655160992,13.029,14.149,17.727
6704.903786037272,13.737,14.339,17.379
6958.763994238908,14.603,14.657,17.205
7233.335682811514,15.606,15.07,17.066
7515.841711603627,16.656,15.49,16.903
7802.0727705088975,17.613,15.795,16.776
8085.744736334278,18.334,15.881,16.532
8369.16079285167,18.753,15.712,16.358
8637.893277982235,18.904,15.341,15.813
8896.362617700504,18.874,14.857,15.372
9145.010854603926,18.717,14.32,14.688
9392.676981225866,18.421,13.731,14.247
9622.655320272424,17.988,13.092,13.876
9836.206900105419,17.515,12.464,13.493
10042.252611834649,17.051,11.88,13.261
10241.68454457109,16.52,11.29,13.11
10434.59190722584,16.141,10.826,12.948
10603.39404414278,15.49,10.22,12.762
10775.64885066835,13.814,8.989,12.588
10889.617002330679,12.211,7.847,12.46
11003.619680689097,10.351,6.582,12.333
