RPM,Hp,Nm,afr
2786.749154758017,1.719,4.055,18.063
2949.16671875449,2.838,6.381,18.063
3154.260934170531,4.027,8.657,18.063
3375.426093417053,5.15,10.568,18.063
3598.198347046623,6.103,11.91,18.133
3827.032949458761,6.841,12.649,18.063
4056.473786749154,7.382,12.894,18.063
4283.024427855243,7.78,12.831,18.075
4509.2860493429025,8.102,12.641,18.063
4735.5187688687165,8.404,12.45,18.063
4949.945319509822,8.723,12.321,18.063
5180.896171295244,9.081,12.273,17.75
5395.794535162311,9.49,12.299,18.028
5617.940109253937,9.955,12.392,17.82
5849.662863384411,10.484,12.545,17.634
6082.343335518768,11.086,12.758,17.216
6321.021218797779,11.766,13.027,17.17
6551.446384174859,12.514,13.336,17.147
6807.60365481093,13.287,13.643,17.135
7060.432496628634,14.023,13.888,16.961
7318.830134908765,14.649,14.015,16.834
7571.883013490877,15.118,13.989,16.555
7818.499776758924,15.409,13.808,16.103
8058.571289151302,15.518,13.487,15.65
8289.135817439721,15.441,13.042,14.873
8515.798827645613,15.173,12.481,14.34
8727.317587682594,14.725,11.823,13.945
8919.6170046699,14.14,11.103,13.342
9098.191208663711,13.487,10.376,13.006
9272.442071686046,12.83,9.686,12.704
9428.55568257844,12.203,9.056,12.275
9579.904748585712,11.622,8.491,11.927
9721.92490108808,11.117,8.004,11.718
9854.159703223564,10.731,7.621,11.416
9982.465150650227,10.484,7.347,11.254
10113.328482278139,10.328,7.147,11.126
10238.545962981912,10.191,6.967,11.057
10357.29721924901,9.989,6.751,10.976
10472.45103340031,9.583,6.408,10.906
10578.392644323636,9.029,5.977,10.894
10671.60975623564,8.641,5.664,10.825
10763.554418246513,7.32,4.765,10.813
10814.060359857438,5.376,3.479,10.778
