RPM,Hp,Nm,afr
2982.587018527895,2.088,4.576,18.075
3195.963619885577,3.348,7.04,18.075
3400.252099693476,4.613,9.313,18.075
3615.4350460349215,5.726,11.059,18.075
3837.609078373984,6.594,12.128,18.086
4063.4330389849397,7.216,12.583,18.075
4283.720353078823,7.657,12.627,18.075
4509.35564186526,8.001,12.487,18.063
4726.673269104559,8.316,12.321,18.075
4952.011589205539,8.633,12.2,18.075
5166.348699904161,8.96,12.126,18.086
5388.438148678941,9.3,12.088,18.075
5605.401191917073,9.673,12.09,18.063
5827.753233945806,10.117,12.164,18.086
6041.791716837203,10.667,12.343,18.075
6275.654581519787,11.341,12.633,18.086
6514.450704053618,12.119,13.005,18.075
6756.690972044706,12.953,13.4,18.133
7014.029752942176,13.783,13.755,17.878
7264.02592611389,14.549,14.015,17.437
7522.140297529422,15.191,14.14,17.298
7778.115669097205,15.658,14.101,17.054
8027.97550133595,15.927,13.899,16.636
8274.272959969661,16.028,13.575,15.616
8502.50926321008,16.015,13.184,15.314
8731.890270583302,15.915,12.756,14.63
8952.533289353412,15.71,12.284,14.421
9163.450050246816,15.385,11.757,14.108
9358.640086991896,14.98,11.205,13.713
9546.355811977877,14.544,10.662,13.4
9727.42246644369,14.029,10.096,13.18
9896.020935168957,13.46,9.522,13.04
10051.56930663165,13.0,9.049,12.994
10202.861848695951,12.073,8.288,12.924
10327.171430771234,10.845,7.35,12.808
