RPM,Hp,Nm,afr
2780.7213048523504,2.298,5.436,18.075
2986.9245895016284,3.512,7.935,18.098
3196.39737698295,4.699,10.127,18.075
3420.9512131081306,5.733,11.734,18.075
3652.9147934419607,6.548,12.67,18.075
3885.6193481966548,7.148,13.032,17.866
4115.447180721305,7.585,13.017,17.75
4344.987341022951,7.925,12.83,17.669
4577.449553774426,8.232,12.624,17.704
4795.44987341023,8.554,12.479,17.843
5020.8564627508595,8.921,12.424,17.588
5241.102039717709,9.339,12.447,17.437
5469.683974463574,9.791,12.517,17.031
5702.0503646594725,10.26,12.603,17.054
5934.795200400374,10.75,12.701,16.926
6164.627061023645,11.302,12.846,16.88
6397.1184438072805,11.971,13.088,16.776
6638.72823782335,12.775,13.437,16.764
6893.053151651187,13.654,13.833,16.88
7157.502036476594,14.486,14.158,16.741
7420.012498729627,15.149,14.304,16.462
7676.427479381159,15.585,14.234,16.161
7923.380452856149,15.82,13.99,15.395
8166.436405941353,15.915,13.646,15.024
8403.201017643316,15.909,13.25,14.699
8636.385675534822,15.783,12.796,14.235
8848.556600340366,15.497,12.258,13.91
9061.576971509448,15.072,11.652,13.644
9251.07572993783,14.601,11.047,13.435
9435.271507420013,14.149,10.492,13.191
9615.986167135445,13.692,9.966,13.052
9781.598616713545,13.172,9.426,12.959
9936.848386261521,13.267,9.33,12.866
10082.209428790085,9.808,6.836,12.739
10090.84389369868,3.956,2.733,12.739
