RPM,Hp,Nm,afr
2962.032389225463,3.283,7.203,18.075
3220.9466824801293,4.869,10.152,18.075
3505.447005762266,6.319,12.493,18.063
3789.427254738142,7.464,13.926,18.075
4073.3554962833923,8.249,14.454,18.063
4335.727795922524,8.737,14.332,18.075
4608.259210607074,9.06,13.911,18.075
4869.491827560137,9.35,13.494,18.086
5117.279855504018,9.71,13.252,18.075
5391.431520328053,10.208,13.244,18.075
5652.826162295063,10.893,13.47,18.075
5925.259811212403,11.798,13.911,17.53
6214.190747369816,12.929,14.531,16.671
6517.086121487266,14.256,15.269,16.172
6842.928680563778,15.71,16.04,15.082
7186.459344681236,17.204,16.755,14.514
7519.4441100667555,18.632,17.323,13.957
7872.925026742138,19.869,17.663,13.771
8228.455558546506,20.801,17.718,13.69
8571.876342627742,21.374,17.484,13.609
8901.77144270063,21.606,17.013,13.609
9211.841910518637,21.537,16.368,13.504
9516.85123780215,21.214,15.607,13.435
9809.039741796176,20.688,14.776,13.33
10066.080713062172,20.004,13.908,13.261
10319.606931055361,19.3,13.09,13.272
10560.46696448524,18.724,12.408,13.203
10781.58831560474,18.258,11.843,13.168
11009.971830420223,17.768,11.3,13.214
11211.373465824232,18.212,11.347,13.133
11406.99823597809,13.466,8.303,13.087
11414.246003757444,5.237,3.195,13.052
