RPM,Hp,Nm,afr
2397.722198002918,2.561,6.861,18.075
2637.8178224061553,3.867,9.765,18.063
2887.56028386928,5.153,12.245,18.075
3149.993813403214,6.297,14.021,18.075
3419.559641926641,7.237,15.024,18.075
3692.7702964402215,7.979,15.388,18.075
3963.413837461612,8.577,15.358,18.063
4225.005878860168,9.103,15.177,18.075
4488.624366387645,9.622,15.017,18.075
4755.377094619222,10.182,14.96,18.075
5034.169631286027,10.808,15.019,17.901
5299.50816834033,11.502,15.166,17.727
5563.501305433381,12.237,15.348,17.472
5847.881075168745,12.966,15.509,17.228
6134.29950816834,13.658,15.614,17.112
6420.921807494358,14.338,15.687,16.822
6701.701301270608,15.094,15.808,16.358
6970.1701301270605,16.029,16.066,15.975
7260.860661221176,17.179,16.488,15.685
7577.226131268698,18.463,16.996,15.569
7902.022287393972,19.695,17.427,15.627
8218.866723853404,20.667,17.614,15.616
8523.189603981433,21.244,17.47,15.5
8832.123520658732,21.416,17.018,15.186
9112.202580078903,21.266,16.357,14.734
9383.53296159095,20.894,15.591,14.49
9642.262090947372,20.361,14.779,14.27
9888.004710723402,19.701,13.947,13.968
10117.79069908537,18.947,13.112,13.794
10328.3914477587,18.145,12.297,13.551
10522.415692007142,17.355,11.537,13.261
10723.577074086708,16.643,10.866,13.156
10890.273016854926,15.989,10.266,13.006
11059.385607874417,15.098,9.552,12.832
11214.081883263012,13.599,8.498,12.646
11326.294181811645,11.164,6.908,12.495
11399.078929581818,8.316,5.105,12.344
11444.468153544503,5.516,3.37,12.228
11475.391440761616,3.593,2.185,12.147
11496.07334603056,2.33,1.423,12.112
