RPM,Hp,Nm,afr
2816.667850620601,1.387,3.269,16.428
2930.622008942657,2.383,5.399,16.555
3092.465185968893,3.466,7.584,16.729
3261.7838320297255,4.508,9.523,16.764
3439.9097264865545,5.404,10.99,16.915
3618.916345782984,6.102,11.9,16.741
3806.070739055911,6.614,12.322,16.799
3991.3533425623073,6.998,12.419,16.718
4154.956229778619,7.325,12.375,16.729
4345.943384171893,7.647,12.321,16.497
4528.922696626145,7.984,12.312,16.613
4724.5340607073895,8.333,12.341,16.544
4907.975794130441,8.677,12.373,16.486
5090.200564487671,9.003,12.383,16.37
5272.30363853832,9.311,12.367,16.358
5462.454244450847,9.615,12.339,16.277
5645.349902057024,9.933,12.328,16.103
5827.520064832568,10.288,12.359,15.964
6014.990812453405,10.701,12.45,15.952
6208.364752887131,11.183,12.61,15.813
6391.582743945431,11.737,12.832,15.685
6595.277677379618,12.351,13.098,15.743
6798.333737887216,13.003,13.38,15.662
7004.012478266333,13.664,13.649,15.732
7209.953486632603,14.3,13.872,15.65
7421.293856125948,14.867,14.014,15.534
7633.1741617319985,15.305,14.033,15.558
7847.795028113498,15.551,13.889,15.43
8035.824278930753,15.572,13.568,15.337
8245.373472669196,15.414,13.117,15.21
8430.208989057965,15.195,12.638,14.78
8604.513436219228,15.038,12.232,14.583
8756.27223914431,14.988,11.937,14.293
8964.880955257713,14.985,11.703,13.922
9125.443319406371,14.916,11.439,13.632
9294.633884179442,14.708,11.088,13.272
9443.194731701526,14.38,10.663,13.098
9589.69260749851,14.014,10.226,12.866
9749.417021943882,13.676,9.826,12.704
9872.85214995558,13.37,9.47,12.6
10016.83745380153,13.079,9.14,12.472
10149.444939410005,12.805,8.834,12.379
10267.481807373835,12.55,8.551,12.24
10392.121315065742,12.257,8.254,12.17
10512.047952402096,11.773,7.842,12.008
10615.38389971782,10.995,7.253,11.904
10709.001076538947,9.968,6.518,11.753
10788.213540489714,8.867,5.753,11.637
10860.612398825091,7.943,5.117,11.451
10921.58362794221,6.313,4.047,11.358
10951.859855331533,4.22,2.697,11.266
