RPM,Hp,Nm,afr
2416.2624632314855,2.355,6.254,17.437
2621.924753785835,3.55,8.994,17.274
2825.177550005449,4.715,11.396,17.286
3044.3087997766643,5.736,13.181,17.24
3262.3413277388604,6.551,14.248,17.1
3472.2042820276174,7.162,14.679,16.984
3683.93684611321,7.618,14.676,16.845
3893.169804014305,7.988,14.47,16.509
4110.21250278949,8.333,14.238,16.381
4319.976474159546,8.688,14.074,16.138
4526.32600562491,9.069,13.997,16.045
4737.707227428163,9.479,13.989,15.778
4949.591618265205,9.923,14.031,15.442
5161.5263260056245,10.403,14.108,15.268
5368.092931108025,10.914,14.213,14.885
5584.868994603339,11.442,14.327,14.792
5802.666003937945,11.968,14.431,14.641
6025.9382421848395,12.481,14.513,14.548
6247.071436158782,12.989,14.577,14.374
6459.931024212893,13.514,14.646,14.293
6674.6498188392,14.07,14.735,14.235
6900.300802779441,14.646,14.837,14.247
7127.045005651079,15.2,14.916,14.316
7353.898530415853,15.678,14.925,14.235
7575.3898530415845,16.038,14.83,14.258
7793.658388289233,16.272,14.63,14.27
8003.544943306537,16.4,14.35,14.154
8209.906733136622,16.447,14.022,13.968
8415.91604644799,16.418,13.657,13.899
8611.143843450767,16.299,13.25,13.783
8799.92035449433,16.079,12.793,13.655
8985.365169777791,15.776,12.299,13.47
9154.357412500169,15.43,11.8,13.191
9321.704397966436,15.071,11.317,13.168
9475.454021886195,14.699,10.851,13.052
9641.276745472202,14.313,10.399,12.936
9781.441107383038,13.946,9.98,12.866
9924.412767454724,13.644,9.623,12.704
10051.545754357414,13.391,9.314,12.576
10198.587411256636,13.094,8.99,12.507
10323.440830677902,12.677,8.6,12.344
10440.702292023014,12.187,8.174,12.263
10551.83142323215,11.746,7.79,12.136
10662.347321427693,11.421,7.494,12.054
10772.801896321875,11.125,7.228,11.938
10872.5040702292,10.684,6.879,11.846
10965.757869709487,9.939,6.347,11.718
11044.933995926169,8.926,5.657,11.66
11109.269518995603,7.091,4.47,11.567
11142.568742944339,4.59,2.882,11.509
