RPM,Hp,Nm,afr
3149.826210769236,2.019,4.343,13.191
3286.325904659013,2.946,6.163,13.226
3428.931097928588,3.871,7.855,13.087
3558.7140053152466,4.728,9.266,13.156
3716.766922919584,5.486,10.338,13.214
3883.019975874048,6.143,11.093,13.33
4060.839311020241,6.713,11.598,13.354
4247.874975878145,7.212,11.923,13.504
4427.772572214681,7.651,12.12,13.748
4615.016063191617,8.039,12.224,13.91
4792.2478749758775,8.388,12.263,14.258
4976.538220333408,8.714,12.266,14.456
5161.534419048266,9.034,12.261,14.56
5343.914635934677,9.363,12.268,14.664
5528.719821802422,9.716,12.301,14.873
5713.767504568302,10.098,12.368,14.838
5901.526004188174,10.514,12.468,14.862
6086.869018329265,10.961,12.593,14.838
6282.716752579196,11.427,12.729,14.885
6471.5552573474715,11.898,12.859,14.873
6673.125674988479,12.356,12.966,14.896
6862.536448095862,12.788,13.039,15.152
7061.477525406602,13.182,13.068,15.001
7255.9984988093165,13.522,13.044,15.082
7447.39089465705,13.786,12.954,14.885
7641.1569999134645,13.952,12.785,14.873
7829.787341782392,14.007,12.532,14.815
8004.47127149167,13.956,12.205,14.746
8185.820261477526,13.822,11.827,14.653
8349.029787341782,13.617,11.415,14.479
8510.42536679388,13.34,10.97,14.282
8668.95298444058,12.984,10.488,14.038
8816.447537250027,12.567,9.984,13.818
8952.092514919032,12.136,9.49,13.435
9083.865967909815,11.744,9.047,13.18
9209.879134104416,11.416,8.671,12.936
9338.002838783575,11.114,8.331,12.727
9452.904761490297,10.749,7.959,12.391
9561.111371671417,10.27,7.52,12.089
9674.021584928336,9.752,7.065,11.822
9757.849919686863,9.447,6.771,11.556
9862.949171073164,9.476,6.719,11.335
9964.802379793884,9.585,6.729,11.103
10069.017551412224,9.482,6.597,10.813
10154.662949171074,9.365,6.453,10.767
10241.13793670815,7.764,5.316,10.604
10279.33767426783,5.099,3.468,10.546
