RPM,Hp,Nm,afr
3966.8261936695744,4.558,7.692,14.305
4179.369186531136,6.424,10.535,13.98
4396.742888802368,8.024,12.747,13.69
4606.539960522029,9.227,14.133,13.47
4818.26593635071,10.048,14.764,13.226
5038.2445040828325,10.614,14.899,13.064
5256.361763841119,11.086,14.844,12.982
5471.606325637843,11.591,14.823,12.843
5699.9964534593055,12.178,14.921,12.82
5932.387705047424,12.834,15.115,12.808
6159.805934683846,13.509,15.327,12.774
6394.786563617638,14.151,15.487,12.785
6625.150298152809,14.723,15.557,12.808
6863.112044740655,15.209,15.529,12.797
7091.08732387705,15.608,15.418,12.774
7315.377389104122,15.931,15.246,12.797
7541.985500104442,16.188,15.029,12.82
7763.452281353726,16.386,14.78,12.739
7970.972093807015,16.529,14.505,12.646
8193.216612365777,16.62,14.208,12.634
8392.754497057475,16.657,13.889,12.414
8590.021718362466,16.619,13.534,12.356
8792.435007657143,16.466,13.115,12.228
8973.870366437355,16.161,12.608,12.17
9153.207932166126,15.71,12.022,12.136
9324.276017097209,15.191,11.415,12.054
9470.338049470916,14.724,10.873,12.066
9635.392013902316,14.386,10.449,11.996
9775.479499897694,14.147,10.118,11.88
9929.189741034548,13.848,9.764,11.857
10062.769720372113,13.31,9.263,11.799
10191.650106365569,12.586,8.653,11.718
10303.941130039542,11.927,8.102,11.648
10414.57321748157,11.561,7.763,11.532
10533.099112792934,11.325,7.525,11.405
10638.981553070336,11.434,7.517,11.37
10738.226513515987,9.26,6.05,11.231
10772.330114038166,5.531,3.59,11.161
