RPM,Hp,Nm,afr
3038.7442510773844,1.681,3.692,17.889
3140.889350480873,2.967,6.226,17.808
3333.7904275854007,4.396,8.871,17.692
3543.82680395257,5.791,11.238,17.321
3755.576710246004,6.994,13.024,17.089
3967.497969532063,7.921,14.102,16.787
4187.496065609922,8.579,14.547,16.428
4389.495875217709,9.041,14.565,16.103
4608.501826327742,9.41,14.397,15.801
4813.0889886029245,9.772,14.227,15.523
5024.293973487159,10.175,14.148,15.36
5244.220442124835,10.626,14.163,14.896
5451.586223316961,11.103,14.228,14.757
5668.442204421249,11.581,14.296,14.63
5886.247205516752,12.049,14.344,14.456
6101.460541447199,12.521,14.383,14.34
6319.101278025317,13.028,14.446,14.258
6528.925053175665,13.599,14.562,14.131
6751.3999680041325,14.234,14.732,14.108
6977.8265639645915,14.893,14.918,14.154
7204.64832803825,15.509,15.054,14.142
7434.196176087407,16.013,15.082,14.131
7664.016632534114,16.372,14.978,14.166
7872.371812507144,16.592,14.758,14.142
8094.699867817879,16.702,14.457,14.05
8291.559539020593,16.717,14.1,13.992
8507.36490912594,16.631,13.692,13.899
8700.885744643938,16.439,13.231,13.806
8884.118425210663,16.156,12.73,13.644
9071.695424610618,15.82,12.216,13.516
9232.841184252107,15.456,11.711,13.354
9399.403521410284,15.069,11.217,13.18
9571.88065064849,14.668,10.739,13.087
9707.337318796192,14.295,10.301,12.959
9863.271045312455,13.987,9.928,12.866
9991.700238859601,13.725,9.603,12.716
10144.244650751632,13.442,9.28,12.588
10272.334912836359,13.113,8.938,12.449
10395.293192776175,12.769,8.598,12.333
10515.051707337318,12.423,8.267,12.194
10637.176812524776,12.007,7.903,12.089
10746.105740953972,11.454,7.463,11.962
10845.655350214798,10.988,7.089,11.904
10941.580460394616,10.327,6.605,11.776
11031.769986337971,8.919,5.664,11.706
11086.46058072335,7.472,4.717,11.625
11137.601281952931,5.77,3.626,11.59
