RPM,Hp,Nm,afr
2713.816121099487,1.561,3.892,15.186
2794.0681792741275,2.643,6.267,14.873
2968.6605492706967,3.846,8.719,14.641
3168.8063534345324,5.036,10.919,14.351
3379.5672025076324,6.095,12.609,14.073
3588.7029889074797,6.952,13.679,13.899
3794.9897018758224,7.601,14.183,13.771
4003.678074665194,8.091,14.289,13.62
4212.606613436668,8.492,14.198,13.562
4429.61887029889,8.872,14.074,13.586
4628.633528820935,9.275,14.01,13.644
4839.281263329854,9.721,14.029,13.76
5056.465439765821,10.208,14.115,13.702
5271.616693230315,10.725,14.234,13.748
5483.878087233478,11.252,14.355,13.725
5695.850495290512,11.772,14.453,13.736
5921.226840573827,12.272,14.519,13.69
6142.570445251412,12.756,14.557,13.736
6358.1376415400655,13.242,14.591,13.644
6570.440629825649,13.761,14.649,13.748
6795.850033131818,14.325,14.745,13.702
7017.196943611689,14.919,14.864,13.736
7243.5107391372885,15.492,14.959,13.829
7467.634656003281,15.983,14.978,13.934
7696.912719331671,16.352,14.888,13.899
7910.586794321227,16.595,14.693,13.957
8125.387037641078,16.729,14.418,13.922
8329.553629137243,16.763,14.083,13.841
8538.029989779396,16.694,13.69,13.76
8733.504491515252,16.522,13.246,13.69
8924.992240196301,16.268,12.767,13.458
9099.961910586795,15.96,12.275,13.412
9270.593205984052,15.613,11.782,13.272
9443.477231046167,15.23,11.291,13.18
9608.526827582229,14.823,10.807,13.087
9743.240742459713,14.418,10.348,12.994
9901.786760813133,14.039,9.926,12.878
10041.223452200717,13.684,9.54,12.785
10170.689509399175,13.328,9.169,12.623
10307.21820467126,12.948,8.796,12.553
10425.647193601455,12.524,8.407,12.426
10544.95277906164,11.949,7.934,12.321
10653.599755518106,11.328,7.444,12.136
10753.12116958166,11.307,7.352,12.043
10854.416594570106,9.003,5.817,11.904
10883.352107218205,5.224,3.356,11.869
