RPM,Hp,Nm,afr
2185.281701664948,1.871,5.539,18.075
2390.331448855019,2.769,7.803,18.075
2596.7380629182885,3.625,9.692,17.994
2791.4770849803535,4.371,11.02,18.075
3005.7050855472157,4.99,11.785,18.075
3218.9311642924263,5.508,12.13,18.075
3435.0078705276037,5.972,12.248,18.086
3657.2712788560393,6.417,12.296,18.075
3886.0549967380625,6.857,12.344,18.075
4109.589106231183,7.286,12.393,18.063
4335.549074557544,7.688,12.41,18.075
4558.800809095099,8.049,12.371,18.075
4775.880080909509,8.368,12.274,18.063
4998.2437457958695,8.655,12.141,18.075
5215.23421064516,8.935,12.01,18.075
5428.736535818613,9.235,11.918,18.086
5635.988407680222,9.582,11.892,18.075
5857.3693325713,10.0,11.951,18.075
6077.212343093196,10.511,12.105,18.063
6302.803201522434,11.132,12.361,18.086
6528.968844742407,11.87,12.708,18.017
6766.995245129979,12.702,13.114,17.97
7020.961819594965,13.569,13.519,17.831
7270.62077212343,14.391,13.847,17.692
7528.701421474639,15.087,14.034,17.228
7781.722601163859,15.597,14.041,17.1
8031.287014214748,15.902,13.873,16.741
8274.604111257542,16.03,13.571,16.219
8511.394837355263,16.029,13.19,15.442
8732.778827997823,15.93,12.763,15.036
8958.523784439127,15.735,12.298,14.386
9166.99991942752,15.449,11.798,13.934
9364.896713254226,15.088,11.277,13.551
9555.833933620504,14.664,10.741,13.203
9737.222737624345,14.161,10.181,13.156
9905.85342130342,13.588,9.602,13.04
10064.355833933621,12.994,9.036,12.959
10212.992960442542,12.225,8.38,12.878
10345.88945997868,11.324,7.662,12.808
