RPM,Hp,Nm,afr
4323.806020537406,1.659,2.675,18.075
4367.674719700799,2.715,4.304,18.063
4425.002766087727,3.893,6.075,18.075
4524.853217785244,5.101,7.831,18.075
4605.426498249113,6.241,9.414,18.075
4713.4838262955,7.224,10.697,18.075
4806.64250027661,7.985,11.595,18.075
4921.840720615896,8.49,12.085,18.075
5051.007601473355,8.75,12.205,18.075
5158.041936617924,8.813,12.045,18.075
5245.215958367675,8.758,11.726,18.063
5348.051007601474,8.669,11.371,17.773
5452.452159583678,8.614,11.075,17.564
5527.598157134839,8.624,10.879,17.518
5640.995109831131,8.692,10.774,17.356
5728.805393336053,8.792,10.722,17.054
5843.468774627724,8.903,10.691,16.834
5931.405700992185,9.035,10.685,16.636
6028.4346877462785,9.232,10.745,16.288
6120.490527598157,9.554,10.935,15.871
6212.049052759816,10.058,11.308,15.5
6332.969611158336,10.761,11.878,15.001
6445.061666998187,11.634,12.602,14.444
6573.917931405702,12.602,13.396,14.27
6692.685910787631,13.566,14.152,13.98
6833.9744734317055,14.437,14.781,13.713
6977.515094401995,15.172,15.241,13.33
7127.1632741460835,15.789,15.555,13.04
7253.892798002844,16.357,15.796,12.832
7401.859868035578,16.962,16.047,12.588
7546.068339744735,17.654,16.359,12.379
7689.900951621532,18.415,16.719,12.31
7857.225389279801,19.16,17.056,12.275
8015.134303633865,19.777,17.274,12.368
8166.219312716329,20.181,17.304,12.449
8322.50428421281,20.347,17.134,12.46
8473.426899009517,20.32,16.81,12.542
8612.048572253892,20.177,16.405,12.669
8761.20485722539,20.003,15.994,12.936
8893.76754454607,19.864,15.631,12.878
9030.553225042842,19.813,15.352,12.855
9173.643557798401,19.882,15.175,12.936
9305.599649897487,20.064,15.089,13.029
9424.677612048572,20.304,15.051,13.064
9577.76187885192,20.514,14.997,13.145
9710.717364355782,20.631,14.882,13.203
9841.659971729694,20.671,14.714,13.296
9960.636585408265,20.718,14.552,13.4
10096.063658540827,20.835,14.442,13.446
10227.253424677614,20.986,14.361,13.597
10346.254754232466,21.049,14.23,13.586
10481.68429895266,20.94,13.992,13.76
10606.991959307034,20.676,13.659,13.725
10707.758019460118,20.325,13.278,13.388
10829.599331357778,19.945,12.891,13.725
10947.66581548872,19.618,12.55,13.783
11053.590110960637,19.457,12.322,13.713
11152.417834625478,19.503,12.228,13.69
11274.065312874314,19.652,12.203,13.644
11380.34770775802,19.734,12.139,13.678
11485.093594305214,19.637,11.969,13.771
11589.685830018756,19.166,11.58,13.62
11688.380347707758,18.574,11.127,13.504
11780.602740653132,18.481,10.975,13.678
11878.060274065312,17.274,10.185,13.69
11952.511909759472,15.414,9.026,13.771
