RPM,Hp,Nm,afr
5152.932351423255,1.216,1.659,16.045
5162.352058671737,2.016,2.716,16.161
5198.588147043645,2.963,3.95,16.103
5249.270579410247,3.967,5.234,15.94
5313.162352058674,4.903,6.404,16.114
5396.022117558809,5.642,7.298,16.242
5474.896329402941,6.086,7.794,16.196
5541.607279999117,6.191,7.85,16.138
5612.984257411677,5.988,7.518,16.033
5661.298425741168,5.576,6.931,15.998
5724.953371985884,5.103,6.28,15.998
5772.495337198589,4.731,5.762,15.987
5818.426004308095,4.597,5.542,15.778
5852.430835724928,4.788,5.709,15.442
5908.772495337199,5.319,6.271,14.85
5996.7596024748955,6.141,7.155,14.56
6058.499489659255,7.162,8.24,14.2
6158.791125436514,8.28,9.398,13.968
6257.055583131887,9.417,10.531,13.771
6355.117323019072,10.531,11.586,13.365
6482.570555831319,11.62,12.558,12.994
6607.080584994897,12.697,13.461,12.588
6725.413940852431,13.769,14.307,12.263
6866.6590411440675,14.816,15.085,12.054
7010.195315879112,15.803,15.762,11.834
7171.607766882031,16.69,16.309,11.579
7317.160776688203,17.456,16.711,11.428
7467.010195315879,18.102,16.977,11.324
7617.289254825706,18.645,17.132,11.15
7779.3759843061,19.11,17.207,11.034
7930.878774901198,19.517,17.228,10.999
8087.205524548943,19.88,17.211,11.01
8238.132317160778,20.199,17.159,10.976
8394.401467010197,20.458,17.063,11.022
8539.44014670102,20.636,16.909,11.092
8689.238132317161,20.728,16.695,11.161
8851.276754408187,20.756,16.441,11.219
8985.12767544082,20.757,16.175,11.335
9110.277473426437,20.751,15.916,11.393
9269.851276754409,20.726,15.656,11.486
9409.338068851912,20.656,15.379,11.556
9529.169101002839,20.545,15.083,11.625
9676.446321864989,20.432,14.795,11.683
9791.174043951205,20.364,14.549,11.718
9926.176227924532,20.366,14.361,11.683
10051.441152204217,20.44,14.229,11.811
10181.614703455716,20.556,14.132,11.857
10306.39676446322,20.619,14.004,11.904
10418.87497056397,20.492,13.758,11.915
10553.65220293875,20.134,13.37,11.915
10667.129926176229,19.714,12.948,11.973
10766.712992617622,19.455,12.639,11.95
10876.671299261763,19.418,12.482,11.973
10999.431835808531,19.37,12.328,11.915
11105.825536522032,18.968,11.964,11.938
11198.817847769851,18.248,11.41,11.88
11302.234725953454,17.68,10.958,11.799
11389.04700200711,18.332,11.248,11.741
11503.610582553654,19.165,11.653,11.776
11615.066940608309,19.113,11.526,11.706
11690.918458766715,15.349,9.209,11.695
11722.03302234726,8.608,5.132,11.706
