RPM,Hp,Nm,afr
2263.336634107781,1.679,4.69,18.075
2470.333663410778,2.791,7.339,18.075
2722.033366341078,3.974,9.869,18.075
2975.2033366341075,5.098,11.923,18.075
3225.5203336634104,6.074,13.309,18.075
3481.552033366341,6.881,14.046,18.086
3741.1552033366347,7.55,14.312,18.075
4007.1155203336634,8.142,14.337,18.052
4273.711552033366,8.712,14.305,18.075
4546.3711552033365,9.293,14.311,18.075
4810.637115520333,9.9,14.375,18.086
5083.063711552033,10.523,14.469,18.052
5353.306371155203,11.139,14.549,18.075
5623.33063711552,11.719,14.582,17.738
5905.333063711551,12.252,14.557,17.332
6176.533306371156,12.763,14.505,17.031
6443.653330637117,13.316,14.49,16.404
6707.365333063712,13.982,14.577,16.242
6979.736533306372,14.791,14.789,16.091
7267.973653330637,15.701,15.08,15.871
7563.797365333064,16.607,15.351,15.975
7854.379736533306,17.385,15.493,16.045
8144.43797365333,17.941,15.439,15.72
8422.443797365335,18.244,15.18,15.349
8696.244379736532,18.316,14.759,14.92
8957.624437973653,18.203,14.232,14.456
9208.762443797366,17.936,13.636,13.899
9443.876244379739,17.514,12.98,13.528
9671.387624437975,16.941,12.265,13.18
9883.138762443798,16.254,11.519,12.971
10075.31387624438,15.516,10.78,12.808
10253.531387624438,14.77,10.077,12.669
10433.353138762443,14.059,9.433,12.472
10592.335313876245,13.415,8.863,12.205
10737.233531387625,12.825,8.353,11.95
10886.723353138763,12.13,7.8,11.788
11012.672335313875,10.927,6.95,11.614
11115.267233531387,9.274,5.845,11.509
11185.526723353138,7.549,4.722,11.37
11246.552672335314,5.242,3.261,11.277
11261.655267233533,2.51,1.561,11.231
