RPM,Hp,Nm,afr
2389.9292025830405,9.859,26.641,10.976
2638.3281003137054,15.29,38.815,10.952
2898.015635516135,20.668,49.177,10.802
3170.7987934685107,25.413,56.369,11.103
3449.37904832192,29.247,60.152,11.88
3731.5307026161254,32.204,61.238,12.136
4006.560272477679,34.496,60.733,12.31
4282.373478771313,36.34,59.562,12.681
4553.777514082118,37.854,58.205,12.797
4812.773873291869,39.06,56.762,13.098
5064.546085390129,39.958,55.191,13.446
5314.100037901893,40.575,53.478,13.551
5552.961250327586,40.94,51.652,13.852
5765.323825863784,41.0,49.682,13.783
5994.482521090534,40.614,47.444,13.783
6201.3873102807975,39.659,44.825,13.771
6388.11657036326,38.172,41.876,13.47
6557.869828781479,36.373,38.829,13.783
6721.437952407234,34.537,35.962,13.852
6872.420803550974,32.85,33.441,14.061
7013.1700581944315,31.39,31.307,14.282
7148.408418561824,30.085,29.452,14.688
7271.128930498842,28.961,27.86,15.534
7392.597657592822,27.809,26.322,16.335
7498.982757449033,25.018,23.374,17.158
7591.892735578697,21.26,19.638,18.075
7643.067389901359,18.938,17.301,18.075
7718.4895644749,13.922,12.63,18.063
7733.511006308986,7.453,6.746,18.063
