RPM,Hp,Nm,afr
2955.2842939856378,0.723,1.622,11.231
3106.026650039133,1.254,2.664,11.219
3356.5101383135225,1.843,3.722,11.335
3616.9677398100007,2.427,4.644,11.266
3888.0312935539546,2.955,5.33,10.952
4140.938360672123,3.392,5.743,10.558
4420.855401903511,3.709,5.892,10.187
4698.669170083591,3.876,5.801,9.827
4966.66407003327,3.873,5.494,9.584
5243.285624085179,3.7,5.013,9.572
5458.314327533074,3.405,4.434,9.758
5466.520591907606,3.08,3.875,10.929
5783.306863461225,2.851,3.472,11.822
5930.287981719789,2.829,3.335,12.46
6026.206794407946,3.072,3.501,13.423
6281.268366273535,3.552,3.914,14.27
6522.9666942786,4.166,4.441,14.699
6772.937238822878,4.782,4.931,14.978
7028.539275483713,5.293,5.276,15.442
7294.31300228147,5.652,5.442,15.117
7546.691086705016,5.869,5.455,14.827
7812.142418279043,5.977,5.368,14.804
8050.075451792318,6.01,5.227,14.479
8294.865196424786,5.994,5.06,14.363
8525.92780078127,5.953,4.889,14.224
8746.00915018489,5.909,4.728,14.015
8960.188103630591,5.866,4.579,13.748
9173.776817480499,5.809,4.432,13.528
9377.697966445561,5.72,4.272,13.296
9566.239547534236,5.615,4.108,13.214
9753.243171835275,5.498,3.946,13.18
9930.484459532281,5.437,3.829,13.145
10101.945243106253,5.168,3.582,13.145
10248.806623954755,4.355,2.98,13.156
10325.94827805384,3.304,2.24,13.029
10376.90087762745,1.923,1.296,12.866
