RPM,Hp,Nm,afr
3023.458962683905,1.008,2.155,10.662
3297.658396268391,1.666,3.387,10.767
3536.015839626839,2.349,4.545,11.092
3798.9140839626843,2.973,5.452,11.15
4087.7039083962677,3.49,6.029,11.173
4374.395390839627,3.893,6.306,11.034
4646.814539083963,4.208,6.378,11.022
4945.931453908396,4.46,6.341,10.929
5228.96814539084,4.667,6.256,10.929
5510.396814539084,4.838,6.151,11.184
5782.289681453908,4.985,6.038,11.532
6053.22896814539,5.123,5.931,11.695
6305.322896814539,5.27,5.843,12.02
6574.282289681455,5.428,5.775,12.565
6830.865728968147,5.586,5.718,12.716
7100.274072896815,5.734,5.66,13.052
7342.839907289683,5.875,5.599,13.388
7596.783990728968,6.011,5.539,13.655
7837.803399072896,6.137,5.475,13.876
8096.280339907288,6.243,5.402,14.154
8333.065533990728,6.329,5.318,14.166
8562.994053399074,6.404,5.233,14.374
8801.611905339907,6.473,5.148,14.398
9027.03619053399,6.515,5.05,14.432
9255.8286190534,6.515,4.93,14.409
9466.207861905339,6.473,4.787,14.282
9674.745786190535,6.459,4.67,14.131
9878.412078619052,6.326,4.482,13.968
10067.528707861906,5.998,4.172,13.702
10213.002870786193,4.856,3.336,13.539
10283.800287078619,3.067,2.084,13.446
