RPM,Hp,Nm,afr
3433.3147076626456,1.844,3.535,13.18
3691.5102787132846,2.739,5.014,13.296
3998.95235237464,3.568,6.209,13.145
4333.670069674551,4.255,6.992,12.948
4581.711377828383,4.786,7.382,12.936
4843.43603844509,5.203,7.507,12.82
5258.515789274973,5.577,7.525,12.878
5528.003896808292,5.978,7.563,12.994
5832.105025442419,6.421,7.651,13.284
6121.78666148464,6.82,7.706,13.423
6499.430321777604,7.013,7.574,13.794
6774.115217608225,6.884,7.153,14.038
7083.206223747577,6.499,6.515,14.328
7292.92327138138,6.118,5.914,14.351
7398.828750979198,6.026,5.609,14.664
7740.2140009257355,6.313,5.673,14.804
7953.160472940259,6.83,5.953,15.476
8269.48823272449,7.319,6.204,15.395
8497.809750424769,7.569,6.244,15.569
8730.74123994314,7.478,6.006,15.592
8982.014521345309,7.116,5.569,15.708
9181.479597829895,6.742,5.144,15.801
9335.532065743255,6.289,4.698,16.045
9538.685656905453,5.571,4.096,15.906
9693.106976286572,5.091,3.684,16.126
9766.66169100614,5.086,3.616,16.486
9993.056897577435,5.673,3.967,16.126
10136.391782472976,4.715,3.269,16.138
10177.546463015511,2.766,1.901,15.987
