RPM,Hp,Nm,afr
4678.591291159294,1.111,1.586,11.637
4821.832639049704,2.218,3.045,11.683
5140.130283772521,3.449,4.58,11.625
5422.291174072617,4.57,5.864,11.66
5696.368190254944,5.411,6.68,11.556
5965.166620349999,5.925,7.004,11.509
6282.609377266789,6.181,6.969,11.648
6528.923189382307,6.277,6.749,11.985
6799.415497746177,6.251,6.436,12.217
7027.623668979915,6.069,6.028,12.379
7291.835214580112,5.709,5.506,12.6
7483.6537201335095,5.26,4.943,12.82
7632.471332278253,4.88,4.47,12.855
7776.98885508213,4.632,4.142,12.913
7934.4869649784105,4.434,3.887,13.087
8178.216908418372,4.221,3.64,13.098
8229.41109481535,4.079,3.459,13.261
8368.636473719946,4.145,3.451,13.191
8525.6053692263,4.43,3.619,13.203
8720.110205796804,4.584,3.686,13.075
8837.905060314783,4.305,3.418,13.075
8970.37991000499,3.9,3.053,12.89
9037.269779079968,3.635,2.803,12.785
9187.005123603363,3.572,2.72,12.716
9273.501836863648,2.929,2.213,12.681
9313.442898918152,1.899,1.428,12.646
