RPM,Hp,Nm,afr
2629.6670655032112,1.243,3.04,14.038
2943.11376537385,1.929,4.4,14.235
3257.3628471256197,2.627,5.565,14.224
3586.5818729478556,3.271,6.398,14.351
3937.150834353609,3.832,6.88,14.282
4314.6709657883,4.308,7.081,14.073
4665.106802461182,4.704,7.1,13.667
5017.797444952,5.014,7.004,13.377
5365.750332730493,5.22,6.816,13.191
5713.229445037755,5.314,6.545,13.087
6025.91853273907,5.33,6.23,13.214
6315.275676803318,5.35,5.951,13.249
6582.44668532739,5.474,5.802,13.493
6892.068197944503,5.767,5.832,13.783
7200.971525676801,6.214,6.008,13.864
7524.692740802973,6.72,6.228,13.968
7869.748685845002,7.159,6.374,14.189
8192.121927408029,7.452,6.382,14.212
8507.263663329037,7.601,6.268,14.177
8811.755778097608,7.656,6.087,14.108
9100.293224868581,7.64,5.871,13.98
9397.161675428033,7.524,5.608,13.806
9660.120579307508,7.33,5.313,13.713
9899.835587342513,7.074,4.999,13.632
10132.262970498958,6.736,4.65,13.435
10344.10864999107,6.064,4.109,13.435
10494.337335587341,4.83,3.226,13.377
10573.8822629705,3.213,2.124,13.18
10591.76322629705,1.162,0.768,13.156
