RPM,Hp,Nm,afr
3334.7435780885107,0.907,1.745,18.075
3587.3205116550057,1.616,2.956,18.075
3884.556226989676,2.387,4.166,18.086
4176.367710611056,3.111,5.168,18.075
4472.5818260061615,3.712,5.839,18.086
4798.9065342489685,4.17,6.174,18.075
5093.626917161161,4.509,6.262,18.075
5409.912142265567,4.775,6.219,18.075
5718.463741699084,5.005,6.134,18.086
6026.241978565513,5.212,6.048,18.214
6328.997824230179,5.392,5.957,18.086
6621.361320884556,5.533,5.846,18.075
6912.685582637908,5.628,5.705,18.086
7184.1257011209345,5.676,5.533,18.086
7453.5774052769275,5.681,5.338,16.857
7707.995103165055,5.642,5.125,15.906
7955.964345481342,5.563,4.898,15.105
8183.5085224602235,5.453,4.665,14.525
8409.010192905364,5.331,4.44,14.073
8614.527392916913,5.214,4.235,13.736
8813.101090940043,5.106,4.052,13.33
9010.980438764334,4.992,3.877,12.936
9198.900241678632,4.853,3.695,12.785
9370.988925266764,4.692,3.507,12.426
9531.604387032174,4.535,3.33,12.194
9691.072526615308,4.418,3.19,12.054
9845.480879035158,4.352,3.092,11.962
9994.438197793628,4.281,2.996,11.822
10137.905358240903,4.078,2.817,11.788
10261.043283076839,3.568,2.438,11.776
10342.587844791202,2.773,1.879,11.776
10385.357685578021,1.713,1.154,11.834
10399.524779546813,0.937,0.628,11.788
10405.886543888748,0.299,0.203,11.869
