RPM,Hp,Nm,afr
3148.6953098747913,1.206,2.468,18.075
3435.1992013171493,1.896,3.687,18.086
3735.827612439408,2.582,4.766,18.086
4027.9783656395452,3.192,5.562,18.075
4339.061572827692,3.691,6.035,18.086
4632.257805634417,4.092,6.244,18.063
4958.280725618388,4.427,6.296,18.086
5272.751149484916,4.722,6.281,18.086
5595.956433629811,4.99,6.242,17.947
5910.145093912432,5.225,6.187,18.075
6218.487036863771,5.424,6.108,18.086
6516.3541981918725,5.587,6.003,17.994
6813.17388135765,5.715,5.874,17.089
7099.998706817084,5.808,5.726,16.207
7375.933936615775,5.858,5.557,15.546
7655.725261793447,5.856,5.361,15.024
7901.286811893632,5.799,5.137,14.351
8153.315494376176,5.694,4.894,13.852
8371.375505481572,5.561,4.647,13.446
8605.818869229475,5.425,4.416,13.145
8802.340128681191,5.304,4.214,12.924
9004.959287593394,5.192,4.033,12.669
9203.243181506592,5.071,3.858,12.565
9386.258384084726,4.93,3.679,12.414
9557.856607639242,4.8,3.516,12.217
9723.368078346344,4.726,3.399,12.101
9888.270873768703,4.654,3.291,12.02
10048.167746717529,4.436,3.091,11.938
10187.783807638787,3.939,2.711,11.95
10275.921237906736,3.225,2.198,12.031
10349.020695219244,2.387,1.614,12.031
10390.946025565881,1.523,1.024,12.043
10400.0836135456,0.609,0.411,12.147
