RPM,Hp,Nm,afr
2457.8149104727036,0.922,2.36,18.086
2743.034238300018,1.461,3.518,18.086
3028.699028225607,2.008,4.549,18.086
3304.5182544709123,2.509,5.32,18.086
3613.968308963576,2.938,5.791,18.075
3902.0561715556987,3.304,6.02,18.11
4197.897924847878,3.636,6.11,18.075
4514.295286990282,3.961,6.153,18.063
4837.693264962766,4.29,6.202,18.075
5156.8462495732,4.619,6.257,18.075
5475.57473484743,4.934,6.297,18.086
5794.26077018804,5.216,6.3,18.075
6112.942560535287,5.456,6.254,18.11
6426.678871438145,5.647,6.162,18.075
6725.085469561396,5.792,6.032,16.787
7021.959096406689,5.894,5.878,16.381
7308.789316234077,5.957,5.706,15.662
7579.780030524507,5.977,5.517,15.012
7854.131849206299,5.948,5.306,14.363
8099.1494486568945,5.876,5.078,13.922
8351.123736074482,5.775,4.847,13.423
8569.178307673385,5.667,4.627,13.191
8788.785962635471,5.552,4.418,13.029
9003.60387098882,5.412,4.208,12.785
9208.052694791191,5.246,3.992,12.542
9391.684390358241,5.089,3.795,12.344
9563.344263211648,4.991,3.649,12.194
9743.697063683801,4.955,3.555,12.043
9924.91915691783,4.906,3.459,11.904
10086.447959647827,4.709,3.269,11.822
10231.172268492253,4.259,2.918,11.753
10339.600743332743,3.451,2.34,11.741
10409.78425015745,2.451,1.648,11.776
10436.582820620142,1.403,0.939,11.857
10449.15278755652,0.678,0.451,11.869
10450.409784250158,0.178,0.121,11.985
