RPM,Hp,Nm,afr
2316.3309512309334,0.776,2.146,10.999
2547.2580951230934,1.255,3.27,11.057
2785.9758095123098,1.754,4.306,11.092
3039.5350809512315,2.222,5.116,11.068
3299.2660080951227,2.632,5.647,10.976
3564.301600809513,2.985,5.937,10.72
3834.5551600809513,3.301,6.074,10.558
4114.7055160080945,3.604,6.146,10.5
4414.59555160081,3.905,6.206,10.43
4678.9595551600805,4.206,6.267,10.477
4986.645955516008,4.5,6.318,10.628
5270.5395955516005,4.778,6.346,10.929
5556.74145955516,5.034,6.342,11.068
5847.861645955516,5.264,6.309,11.324
6130.098664595552,5.47,6.252,11.718
6411.447366459555,5.662,6.185,12.043
6688.019736645956,5.851,6.124,12.472
6964.114473664596,6.044,6.073,12.727
7230.786447366461,6.231,6.024,12.913
7510.578644736646,6.395,5.961,13.075
7777.620364473664,6.522,5.874,13.238
8038.699536447367,6.612,5.762,13.423
8280.432453644738,6.662,5.627,13.481
8538.980745364473,6.674,5.474,13.551
8780.460574536448,6.65,5.306,13.574
9001.483557453645,6.613,5.141,13.632
9229.835855745363,6.588,4.994,13.574
9449.546085574535,6.559,4.857,13.539
9659.017108557453,6.455,4.677,13.458
9862.776710855744,6.287,4.464,13.307
10037.840171085576,5.898,4.113,13.203
10200.659017108557,5.127,3.523,13.133
10301.315901710857,3.873,2.633,12.982
10348.881590171086,2.157,1.457,12.924
