RPM,Hp,Nm,afr
2539.1970263308413,2.139,5.619,12.205
2726.457995849715,3.185,7.985,12.089
2928.335077484316,4.223,10.04,11.985
3143.489962890664,5.2,11.629,11.927
3368.8347730943187,6.114,12.766,11.846
3615.8769127580103,6.986,13.568,11.695
3876.9049779278803,7.833,14.159,11.625
4154.101876348587,8.655,14.616,11.567
4432.915658094379,9.454,14.976,11.486
4700.0749356125025,10.246,15.268,11.405
4986.747099688167,11.057,15.532,11.312
5266.508407999452,11.904,15.794,11.277
5560.348871434519,12.764,16.041,11.266
5861.505346662052,13.592,16.227,11.254
6160.439374928788,14.342,16.309,11.347
6453.243062219358,14.984,16.267,11.405
6733.617522852132,15.492,16.093,11.474
7024.565253379305,15.82,15.771,11.556
7301.800070195699,15.916,15.277,11.625
7562.893354940797,15.779,14.628,11.695
7807.602245778545,15.497,13.909,11.776
8035.902456525341,15.211,13.243,11.892
8265.515847403083,15.017,12.707,11.904
8480.4903155937,14.891,12.274,12.008
8702.86303593574,14.718,11.842,12.124
8896.43510009248,14.37,11.308,12.205
9090.081146770737,13.821,10.654,12.298
9263.056254720837,13.477,10.176,12.333
9431.010220658078,12.942,9.597,12.402
9595.508024253993,11.711,8.554,12.449
9694.671152534807,8.939,6.463,12.53
9737.081994903374,4.832,3.469,12.588
