RPM,Hp,Nm,afr
4656.070362991465,5.159,7.572,17.472
4783.304264444137,7.164,10.359,17.124
4905.409317702411,8.893,12.651,17.1
5032.7584157787705,10.226,14.271,16.973
5160.631918336939,11.173,15.249,16.892
5288.557861343289,11.849,15.766,16.66
5422.245978031984,12.404,16.056,16.59
5573.781101001493,12.962,16.313,16.544
5704.073206048977,13.583,16.632,16.219
5861.025657491891,14.262,17.012,16.149
6009.130284299295,14.954,17.395,15.987
6167.863987918202,15.612,17.721,15.836
6321.903669580733,16.205,17.954,15.79
6475.473949047627,16.726,18.091,15.65
6628.997288294955,17.186,18.152,15.616
6788.272863157854,17.609,18.169,15.418
6948.123661582311,18.026,18.178,15.372
7102.275052725395,18.471,18.21,15.21
7255.856503140344,18.966,18.287,15.117
7409.380959482478,19.51,18.404,15.024
7580.170505329912,20.063,18.526,15.001
7735.415771215295,20.563,18.599,14.896
7894.863538742001,20.948,18.572,14.862
8054.731556432836,21.186,18.421,14.804
8214.641599140086,21.292,18.166,14.699
8363.041985073924,21.312,17.849,14.653
8504.534475692893,21.3,17.521,14.711
8656.85003605543,21.293,17.214,14.595
8810.247903392326,21.298,16.933,14.583
8940.726282876545,21.294,16.661,14.583
9080.426572850556,21.245,16.369,14.49
9226.805983511067,21.124,16.038,14.502
9356.582517327652,20.945,15.677,14.479
9484.698763459844,20.782,15.34,14.456
9612.648980823597,20.739,15.099,14.282
9746.33952494803,20.882,14.998,14.363
9863.333312835955,21.181,15.011,14.409
10001.685143650333,21.492,15.036,14.108
10136.41584911983,21.607,14.931,14.456
10247.756723504732,21.388,14.606,14.432
10379.786333331285,20.911,14.117,14.421
10490.857098151891,20.431,13.636,14.444
10594.075048834382,20.116,13.278,14.49
10713.778507015635,19.881,12.986,14.56
10823.616656671715,19.46,12.589,14.363
10920.954416200222,18.677,11.976,14.386
11017.042136715972,18.43,11.703,14.456
11107.247923692921,17.505,11.026,14.444
11196.86551731599,13.634,8.539,14.525
11217.34113595335,9.803,6.112,14.421
11242.416416367189,5.111,3.181,14.456
