RPM,Hp,Nm,afr
396.0,0.208,3.73,18.075
512.1,0.239,3.841,18.075
586.71,0.258,3.628,18.075
666.171,0.267,3.213,18.075
768.6170999999999,0.273,2.751,18.075
864.3617099999999,0.283,2.372,18.075
954.9361710000002,0.301,2.145,18.075
1031.4936171000002,0.327,2.069,18.075
1138.1493617100002,0.358,2.097,18.04
1234.314936171,0.392,2.162,18.075
1320.4314936171,0.422,2.212,18.075
1428.04314936171,0.447,2.219,18.086
1506.304314936171,0.465,2.181,18.075
1599.630431493617,0.477,2.113,18.11
1680.963043149362,0.485,2.033,18.086
1752.096304314936,0.491,1.958,18.121
1849.2096304314935,0.498,1.894,18.075
1908.4209630431494,0.506,1.847,18.086
1986.342096304315,0.517,1.814,18.098
2075.1342096304315,0.529,1.792,18.075
2133.5134209630432,0.544,1.78,18.075
2206.8513420963045,0.561,1.776,18.075
2299.6851342096306,0.583,1.784,18.075
2367.468513420963,0.611,1.81,18.075
2437.2468513420963,0.649,1.859,18.086
2520.72468513421,0.698,1.932,18.11
2610.072468513421,0.757,2.024,18.075
2700.007246851342,0.822,2.125,18.075
2799.000724685134,0.89,2.227,18.075
2898.9000724685134,0.961,2.325,18.075
2998.890007246852,1.037,2.423,18.075
3107.889000724685,1.12,2.524,18.075
3213.288900072469,1.212,2.634,18.075
3331.8288900072466,1.312,2.753,18.086
3460.6828890007246,1.421,2.875,18.237
3590.5682889000723,1.535,2.997,18.075
3716.056828890007,1.656,3.12,18.075
3854.605682889001,1.788,3.248,18.075
4003.4605682889,1.934,3.385,18.086
4148.846056828891,2.096,3.533,18.086
4302.88460568289,2.273,3.691,18.063
4480.288460568288,2.461,3.851,18.063
4642.028846056828,2.659,4.01,18.075
4815.702884605683,2.869,4.168,18.086
5013.070288460568,3.098,4.335,18.086
5194.807028846057,3.355,4.52,18.086
5397.480702884606,3.651,4.731,18.075
5606.74807028846,3.983,4.966,18.098
5839.174807028846,4.347,5.213,18.075
6064.917480702885,4.735,5.463,18.075
6312.49174807029,5.148,5.712,18.075
6566.74917480703,5.599,5.971,18.075
6830.674917480704,6.1,6.248,18.075
7104.567491748071,6.653,6.544,18.075
7410.956749174807,7.241,6.841,18.063
7698.09567491748,7.822,7.102,18.098
8019.309567491748,8.348,7.29,18.075
8325.930956749176,8.762,7.368,18.075
8631.093095674918,8.984,7.288,18.075
8922.609309567491,8.891,6.982,18.075
9185.76093095675,8.297,6.337,17.669
9396.576093095675,7.247,5.407,18.075
9552.657609309568,5.96,4.364,18.075
9667.265760930957,3.942,2.849,18.237
9674.226576093095,1.336,0.968,18.075
