RPM,Hp,Nm,afr
2182.946383593438,6.777,19.969,11.393
2426.082248978813,10.699,29.812,11.556
2654.2896408270853,14.54,38.176,11.498
2900.119229569435,18.014,44.119,11.579
3139.7464362312803,21.227,47.928,12.124
3391.4967675169337,24.475,50.591,12.495
3684.2824201145263,27.894,52.878,12.901
3974.799923427382,31.326,54.895,13.4
4287.391496767517,34.529,56.358,13.771
4621.305521358169,37.388,57.088,13.794
4850.626127357056,39.829,57.073,13.864
5188.956418045442,41.603,56.219,13.887
5458.54165950366,42.416,54.383,14.026
5769.0400066583325,42.334,51.76,14.189
5957.788956418046,41.807,48.921,14.293
6225.159426615257,41.248,46.356,14.49
6447.825677174801,40.76,44.165,14.792
6675.579027894472,39.853,41.822,15.732
6862.425159426617,38.141,38.907,16.056
7056.331011517884,36.074,35.847,16.532
7211.119826815505,34.445,33.381,16.648
7384.2978233895155,34.355,32.509,16.764
7543.385534551342,30.835,28.669,16.88
7646.90492513655,25.235,23.098,16.741
