RPM,Hp,Nm,afr
881.9068270555811,1.374,11.14,18.075
884.3390682705558,2.71,21.464,18.075
890.1233906827057,4.428,34.454,18.284
905.3012339068271,6.416,49.131,18.086
913.1301233906828,8.492,64.032,18.075
937.3130123390682,10.451,77.585,18.086
956.8313012339069,12.128,88.581,18.098
980.3831301233906,13.459,96.57,18.063
1002.5383130123391,14.499,101.982,18.052
1021.8538313012339,15.398,105.905,18.075
1043.5853831301233,16.329,109.601,18.11
1068.2585383130124,17.417,113.964,18.063
1093.2258538313015,18.684,119.188,17.553
1120.02258538313,20.042,124.764,17.309
1149.702258538313,21.347,129.801,16.741
1177.8702258538312,22.459,133.477,16.033
1206.787022585383,23.304,135.4,15.569
1236.6787022585381,23.898,135.725,15.349
1261.2678702258538,24.323,135.017,14.722
1291.6267870225852,24.684,133.945,14.479
1317.1626787022583,25.058,132.984,14.224
1348.5162678702256,25.457,132.252,13.806
1373.2516267870224,25.841,131.548,13.423
1399.1251626787025,26.144,130.544,13.133
1430.5125162678705,26.325,129.027,13.098
1456.151251626787,26.392,127.022,12.75
1481.2151251626788,26.383,124.737,12.507
1504.4215125162682,26.338,122.377,12.31
1531.942151251627,26.258,119.985,12.24
1555.3942151251629,26.108,117.422,12.101
1581.1394215125163,25.836,114.466,11.973
1602.6139421512516,25.403,110.958,11.857
1625.4613942151252,24.805,106.884,11.706
1644.8461394215126,24.071,102.397,11.614
1667.4846139421513,23.272,97.793,11.602
1685.9484613942152,22.497,93.437,11.428
1703.9948461394215,21.825,89.644,11.382
1721.0994846139422,21.298,86.551,11.277
1739.9099484613944,20.904,84.093,11.219
1755.2909948461393,20.604,82.085,11.15
1775.7290994846137,20.358,80.346,11.092
1787.6729099484614,20.134,78.734,11.08
1805.967290994846,19.895,77.109,11.057
1821.2967290994848,19.594,75.295,11.057
1837.2296729099485,19.178,73.092,10.987
1850.5229672909948,18.596,70.327,10.976
1865.3522967290999,17.818,66.892,10.976
1877.6352296729099,16.873,62.915,10.883
1890.563522967291,15.917,58.963,10.836
1900.8563522967293,15.146,55.755,10.848
1911.7856352296733,14.575,53.333,10.802
1922.7785635229675,13.892,50.576,10.755
1932.8778563522965,13.052,47.295,10.732
1942.88778563523,12.722,45.848,10.686
1948.3887785635231,12.594,45.153,10.639
1960.638877856352,11.556,41.273,10.628
1969.9638877856353,10.384,36.941,10.709
1969.9963887785636,9.327,33.053,10.581
1980.7996388778565,7.695,27.202,10.5
1980.8179963887785,4.995,17.63,10.465
1981.881799638878,1.256,4.442,10.454
