RPM,Hp,Nm,afr
2359.7199812843633,8.823,24.144,12.031
2616.4453709095014,13.817,35.378,12.124
2886.5557796945,18.826,44.984,12.298
3169.188122348148,23.303,51.673,12.344
3459.4631909330396,26.949,55.184,12.414
3758.4906977915284,29.738,56.136,12.484
4050.4052827969044,31.836,55.531,12.681
4335.218043072589,33.482,54.284,12.785
4611.332455194833,34.893,52.969,12.681
4878.588866821258,36.185,51.789,12.333
5146.557111534197,37.325,50.66,12.066
5408.2060070114085,38.141,49.335,11.695
5659.637168748479,38.414,47.558,11.637
5894.070225750587,38.017,45.222,11.73
6114.022407190443,37.021,42.456,11.776
6314.952536577033,35.682,39.572,12.275
6501.199395669538,34.249,36.842,12.762
6681.185028324351,32.742,34.281,13.017
6842.970573838353,31.018,31.716,13.423
6999.740844366084,29.082,29.118,13.783
7127.2521909454845,27.333,26.834,14.154
7255.03291140224,26.077,25.131,14.572
7384.4382023828275,25.474,24.125,14.688
7504.42015159923,24.582,22.927,14.664
7613.873967822645,22.792,20.967,14.862
7696.7128405692465,18.455,16.813,15.291
7741.742289974084,12.014,10.85,15.616
