RPM,Hp,Nm,afr
2089.0416236978094,1.483,5.022,18.075
2097.519546985165,3.484,11.255,18.075
2128.8288777754397,6.033,18.958,18.075
2217.8059647006207,8.8,27.026,18.075
2307.0113657008314,11.389,34.192,18.063
2385.162675031622,13.476,39.479,18.075
2476.0547290416234,14.915,42.514,17.82
2562.682395981086,15.766,43.579,18.075
2637.8067011365697,16.23,43.376,18.052
2725.626823959811,16.534,42.676,18.075
2798.1011439344425,16.833,42.008,18.11
2891.19472977806,17.175,41.559,18.075
2972.5040883624215,17.536,41.269,18.063
3052.6350242208573,17.894,41.039,17.669
3140.9558101143934,18.283,40.879,16.532
3216.249427165286,18.787,40.929,16.37
3293.0095581011446,19.486,41.34,15.372
3375.454801963961,20.389,42.128,15.059
3466.7762494271656,21.405,43.114,14.815
3558.985317250409,22.38,43.994,14.467
3648.513916340425,23.17,44.492,14.177
3735.0052377878887,23.715,44.506,13.968
3823.9620622403268,24.071,44.152,14.084
3904.857744685572,24.369,43.686,13.562
3998.7934667762497,24.737,43.35,13.504
4074.6485774468556,25.217,43.23,13.412
4165.3110115908385,25.743,43.215,13.191
4249.146485774468,26.184,43.089,12.994
4340.606956269754,26.427,42.667,12.843
4424.522234088514,26.442,41.909,12.681
4491.0676080242365,26.294,40.928,12.495
4583.568299263962,26.106,39.925,12.426
4653.741445311011,25.995,39.079,12.194
4729.989529146486,25.984,38.423,12.089
4806.845106760802,25.963,37.798,11.95
4875.453741445311,25.756,36.952,11.869
4951.545374144531,25.273,35.759,11.764
5022.846845106761,24.585,34.321,11.614
5074.284684510676,23.832,32.84,11.544
5140.351545374145,23.099,31.444,11.486
5205.112077614339,22.442,30.204,11.393
5258.66505391528,21.992,29.273,11.358
5313.866505391528,21.903,28.837,11.312
5369.232804385307,22.164,28.863,11.312
5432.923280438531,22.51,29.004,11.266
5486.369251120777,22.362,28.53,11.242
5541.560002035155,21.398,27.052,11.196
5588.617538665055,19.698,24.694,11.173
5629.323292328044,18.236,22.67,11.231
5672.163098463574,18.37,22.641,11.208
5717.985540615588,16.417,20.111,11.173
5744.721630984636,13.401,16.331,11.173
