RPM,Hp,Nm,afr
3052.800953973654,10.372,22.148,15.755
3182.4368390182653,14.371,30.215,16.045
3369.2764907062015,17.431,36.109,15.906
3486.380868997716,19.041,38.823,15.906
3573.5469568876215,19.145,38.328,15.882
3654.438535299941,18.146,35.539,15.894
3718.299260577382,16.719,31.896,16.161
3793.5796222910312,15.526,28.77,15.987
3863.440586773453,14.986,26.993,15.906
3942.601652845025,15.183,26.695,15.929
4025.973409512936,15.927,27.463,15.987
4109.7662352404805,16.908,28.663,15.929
4193.601167873988,17.85,29.755,15.801
4280.720991635516,18.595,30.447,15.65
4368.169304509846,19.112,30.703,15.836
4445.8084249831845,19.446,30.635,15.662
4535.58934796612,19.669,30.393,15.662
4620.023090325167,19.848,30.101,15.5
4703.922114621825,20.04,29.851,15.476
4781.206306237395,20.303,29.716,15.326
4867.67105589713,20.695,29.767,15.36
4951.773180923858,21.257,30.045,15.279
5038.919723924707,21.988,30.544,15.384
5116.5286674106965,22.855,31.209,15.244
5216.14861400717,23.819,31.977,15.233
5311.408300039843,24.882,32.834,14.954
5406.2319600161345,26.101,33.837,14.966
5501.01201738679,27.562,35.082,14.885
5599.068394934306,29.343,36.651,14.954
5713.855806686627,31.503,38.592,14.804
5836.877682734278,34.101,40.937,14.676
5957.442324774037,37.2,43.709,14.711
6087.603284725278,40.834,46.9,14.688
6228.565917779942,44.944,50.405,14.688
6387.012120332064,49.351,54.005,14.757
6557.048721146209,53.782,57.397,14.699
6724.96368134913,57.917,60.265,14.769
6899.227838365776,61.461,62.357,14.815
7080.688275938644,64.258,63.585,14.896
7266.149022004557,66.438,64.129,15.059
7438.88707717008,68.427,64.422,15.117
7623.47558499526,70.668,64.891,15.14
7796.126416336709,73.208,65.599,15.128
7987.267562654328,75.556,66.146,15.128
8186.819101344413,77.062,65.995,15.14
8354.404874897504,77.479,64.966,15.012
8535.197474124016,77.319,63.497,15.047
8697.626673293325,77.59,62.412,14.873
8881.184295518884,79.138,62.357,14.896
9047.170677425524,81.89,63.241,14.85
9237.64537879966,84.522,64.031,14.838
9414.16550993343,85.324,63.48,14.827
9582.728823168314,83.5,61.052,14.804
9734.093052426188,79.084,56.904,14.78
9873.89533197409,74.318,52.659,14.78
9989.576653489028,56.568,39.714,14.746
10020.828868265062,29.331,20.451,14.699
